Year,2022,2021,2020,2019,2018,2017,2016
Net Income,-105.3,-1.01,-2.28,-9.68,-3.54,-0.94,0.16
Depreciation & Amortization,27.83,13.11,3.32,0,0,0,0.04
Share-Based Compensation,0,1.45,0.46,1.76,0,0,0
Other Operating Activities,68.97,-30.9,-2.47,6.57,-1.51,-0.97,-1.29
Operating Cash Flow,-8.5,-17.35,-0.97,-1.35,-5.05,-1.91,-1.09
Capital Expenditures,-18.25,-46.84,-4.51,-0.11,0,0,-0.11
Acquisitions,-0.06,0,0.01,0,-1.76,0,0
Change in Investments,-0.29,0,0,0,0,0,0
Other Investing Activities,-,-,-,-0.81,-1.57,1.89,-
Investing Cash Flow,-18.61,-46.84,-4.49,-0.92,-3.33,1.89,-0.11
Share Issuance / Repurchase,21.01,109.21,5.25,0,5.94,0,0
Debt Issued / Paid,0,1.27,0.01,0,0,0,0
Other Financing Activities,-2.3,-4.29,-,-,-,-0.39,8.04
Financing Cash Flow,18.71,106.19,5.26,0,5.94,-0.39,8.04
Net Cash Flow,-8.39,41.99,-0.21,-2.3,-2.52,0,6.7
Free Cash Flow,-26.75,-64.19,-5.48,-1.46,-5.05,-1.91,-1.2
Free Cash Flow Margin,-82.82%,-66.81%,-26.00%,-,-,-,-32.41%
Free Cash Flow Per Share,-0.34,-1.16,-0.18,-0.10,-0.35,-0.28,-46.20
