Year,2022,2021,2020,2019,2018,2017,2016
Net Income,7,11.56,5.92,5.96,4.36,3,2.69
Depreciation & Amortization,1.65,1.66,1.42,1.33,1.19,1.21,1.32
Share-Based Compensation,0.83,0.85,0.39,0.24,0,0,0
Other Operating Activities,5.31,-6.41,7.12,4.57,3.06,1.18,0.9
Operating Cash Flow,14.8,7.65,14.85,12.11,8.61,5.39,4.9
Operating Cash Flow Growth,93.35%,-48.45%,22.57%,40.69%,59.79%,9.94%,-
Capital Expenditures,-1.13,-1.77,-1.87,-2.59,-1.15,-0.17,-1.04
Acquisitions,0,32.77,0,0,0,3.44,0
Change in Investments,-122.45,-157.04,-71.99,-129.44,-102.89,-27.19,-71.78
Other Investing Activities,-0.02,-9.68,-0.27,-0.05,-0.04,-0.04,-0.05
Investing Cash Flow,-123.61,-135.73,-74.12,-132.08,-104.07,-23.96,-72.87
Share Issuance / Repurchase,-0.11,-0.09,0,-31.27,79.14,0,0
Debt Issued / Paid,39.68,-32.63,-15.63,29.71,21.7,5.4,9.5
Other Financing Activities,28.54,139.41,156.41,82.92,34.75,10.66,43.13
Financing Cash Flow,68.11,106.69,140.78,81.36,135.59,16.06,52.63
Net Cash Flow,-40.71,-21.39,81.51,-38.61,40.13,-2.52,-15.34
Free Cash Flow,13.66,5.88,12.98,9.52,7.46,5.22,3.87
Free Cash Flow Growth,132.44%,-54.71%,36.29%,27.61%,43.09%,34.93%,-
Free Cash Flow Margin,29.50%,11.64%,34.57%,26.89%,23.70%,16.43%,13.63%
Free Cash Flow Per Share,1.26,0.55,1.21,0.89,0.67,-,-
