Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Net Income,-132.18,147.07,75.34,23.95,0.89,17.57,-74.99,8.47,-2.06,35.38,Upgrade
Share-Based Compensation,2.02,1.31,1.96,1,0,0,0,0,0,0,Upgrade
Other Operating Activities,19.6,35.27,-100.92,10.03,8.68,39.02,71.03,45.77,-19.68,-104.64,Upgrade
Operating Cash Flow,-110.56,183.65,-23.62,34.98,9.57,56.59,-3.96,54.24,-21.75,-69.26,Upgrade
Operating Cash Flow Growth,-,-,-,265.36%,-83.08%,-,-,-,-,-,Upgrade
Dividends Paid,-26.54,-103.46,-14.66,-3.51,0,0,0,-26.36,0,0,Upgrade
Share Issuance / Repurchase,-21.22,0.08,39.5,-14.79,-10.28,-4.93,0,0,0,0,Upgrade
Debt Issued / Paid,0,74.71,0,0,-29.27,0,0,-18,18,69.04,Upgrade
Other Financing Activities,-0,-2.34,-0.29,-,-1.68,-0.15,-1.06,-,-,-3.87,Upgrade
Financing Cash Flow,-47.76,-31.01,24.56,-18.31,-41.23,-5.08,-1.06,-44.36,18,65.16,Upgrade
Net Cash Flow,-158.32,152.64,0.93,16.68,-31.65,51.51,-5.02,9.88,-3.75,-4.1,Upgrade
Free Cash Flow,-110.56,183.65,-23.62,34.98,9.57,56.59,-3.96,54.24,-21.75,-69.26,Upgrade
Free Cash Flow Growth,-,-,-,265.36%,-83.08%,-,-,-,-,-,Upgrade
Free Cash Flow Margin,-3198.88%,12486.07%,-1295.09%,2338.82%,591.82%,6636.07%,-537.89%,18644.42%,-11694.97%,-141489.32%,Upgrade
Free Cash Flow Per Share,-3.68,7.10,-1.32,1.81,0.46,2.58,-0.18,2.81,-1.13,-3.58,Upgrade
