Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,234.48,227.56,202.03,164.81,150.64,120.37,104.77,100.38,89.56,78.87,Upgrade
Depreciation & Amortization,12.76,13.06,12.79,11.67,12.55,12.92,11.57,11.15,9.26,8.64,Upgrade
Other Operating Activities,76.7,112.61,-4.16,25.98,23.16,56.99,44.4,-2.43,32.58,22.35,Upgrade
Operating Cash Flow,323.94,353.23,210.67,202.45,186.35,190.27,160.74,109.09,131.4,109.86,Upgrade
Operating Cash Flow Growth,-8.29%,67.67%,4.06%,8.64%,-2.06%,18.37%,47.35%,-16.98%,19.61%,18.05%,Upgrade
Capital Expenditures,-14.6,-18.38,-14.99,-6.42,-16.8,-8.08,-16.83,-15.03,-12.76,-6.6,Upgrade
Acquisitions,0,0,61.03,0,18.65,0,0,63.27,0,-25.71,Upgrade
Change in Investments,-823.41,"-2,593.27","-1,308.24",-441.38,-275.14,-389.97,-235.13,-432.46,-562.45,-524.46,Upgrade
Investing Cash Flow,-838.01,"-2,611.65","-1,262.2",-447.8,-273.29,-398.04,-251.96,-384.23,-575.21,-556.77,Upgrade
Dividends Paid,-91.32,-79.71,-70.32,-61.06,-53.86,-48.96,-44.91,-38.77,-34.58,-24.51,Upgrade
Share Issuance / Repurchase,-2.9,5.91,-3.29,4.29,3.86,2.93,1.26,1.55,1.44,1.96,Upgrade
Debt Issued / Paid,-28.65,241.06,48.74,-87.35,137.71,-114.77,-169.91,235.44,-96.78,204.19,Upgrade
Other Financing Activities,439.02,"1,890.67","1,522.89",423.42,-124.47,484.42,288.37,96.33,615.18,116.54,Upgrade
Financing Cash Flow,316.16,"2,057.92","1,498.01",279.31,-36.77,323.63,74.82,294.55,485.26,298.19,Upgrade
Net Cash Flow,-197.91,-200.5,446.48,33.96,-123.7,115.86,-16.4,19.42,41.46,-148.73,Upgrade
Free Cash Flow,309.34,334.85,195.67,196.03,169.55,182.2,143.92,94.06,118.65,103.26,Upgrade
Free Cash Flow Growth,-7.62%,71.13%,-0.18%,15.62%,-6.94%,26.60%,53.00%,-20.72%,14.91%,21.12%,Upgrade
Free Cash Flow Margin,59.99%,65.19%,41.61%,49.68%,45.97%,56.73%,47.69%,33.44%,46.25%,44.78%,Upgrade
Free Cash Flow Per Share,2.17,2.35,1.38,1.44,1.25,1.38,1.09,0.71,0.93,0.81,Upgrade
