Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Net Income,-85.55,39.58,1.71,-32.8,-9.21,43.61,110.36,-66.13,-3.35,58.94,Upgrade
Other Operating Activities,105.93,-147.01,93.34,80.55,-24.65,174.02,72.55,309.94,-49.66,-260.59,Upgrade
Operating Cash Flow,20.37,-107.43,95.05,47.76,-33.86,217.63,182.91,243.81,-53.01,-201.64,Upgrade
Operating Cash Flow Growth,-,-,99.03%,-,-,18.98%,-24.98%,-,-,-,Upgrade
Other Investing Activities,-,-,-,-,-,-,-,2.61,11.85,-11.19,Upgrade
Investing Cash Flow,0,0,0,0,0,0,0,2.61,11.85,-11.19,Upgrade
Dividends Paid,-20.37,-20.42,-30.1,-38.22,-39.48,-41.18,-59.72,-67.65,-67.32,-58.18,Upgrade
Share Issuance / Repurchase,0,0,5.82,4.29,-25,0,-25.59,-26.1,67.27,120.48,Upgrade
Debt Issued / Paid,0,77.72,-28.09,-14.45,85.41,-158.14,-129.8,-150,49.83,119.75,Upgrade
Other Financing Activities,-,-,-,-,-,-,2.76,-,-3.05,-5.67,Upgrade
Financing Cash Flow,-20.37,57.31,-52.37,-48.38,20.93,-199.33,-212.35,-243.74,46.73,176.37,Upgrade
Net Cash Flow,0,-50.12,42.68,-0.62,-12.93,18.3,-29.43,2.68,5.57,-36.46,Upgrade
Free Cash Flow,20.37,-107.43,95.05,47.76,-33.86,217.63,182.91,243.81,-53.01,-201.64,Upgrade
Free Cash Flow Growth,-,-,99.03%,-,-,18.98%,-24.98%,-,-,-,Upgrade
Free Cash Flow Margin,47.25%,-288.98%,264.45%,76.23%,-60.17%,354.34%,264.02%,278.76%,-45.18%,-191.87%,Upgrade
Free Cash Flow Per Share,0.41,-2.17,1.92,1.00,-0.68,4.23,3.53,4.08,-0.90,-3.95,Upgrade
