Year,2022,2021,2020,2019
Net Income,-89.26,-11.21,-0.14,-1.85
Depreciation & Amortization,47.24,7.61,0.56,0.48
Share-Based Compensation,13.89,4.02,0,0
Other Operating Activities,0.98,-5.49,0.17,2.12
Operating Cash Flow,-27.15,-5.08,0.59,0.76
Operating Cash Flow Growth,-,-,-22.24%,-
Capital Expenditures,-71.58,-253.66,-1.99,0
Acquisitions,0,-3.91,0,0
Change in Investments,0,0,0.16,0.02
Other Investing Activities,-,-0.03,-,-
Investing Cash Flow,-71.58,-257.6,-1.83,0.02
Dividends Paid,0,0,-1.12,-0.58
Share Issuance / Repurchase,8.6,228.32,0,0
Debt Issued / Paid,71.64,60.85,2.53,-0.25
Other Financing Activities,-,5,-,-
Financing Cash Flow,80.24,294.17,1.41,-0.83
Net Cash Flow,-18.49,31.49,0.17,-0.05
Free Cash Flow,-98.73,-258.74,-1.4,0.76
Free Cash Flow Margin,-93.12%,-836.94%,-33.97%,6.83%
Free Cash Flow Per Share,-3.82,-46.88,-0.03,-
