Year,2022,2021,2020,2019,2018,2017,2016
Net Income,87.72,108.55,36.36,53.88,48.65,9.83,8.14
Depreciation & Amortization,12.31,6.83,6.88,6.71,5.87,5.85,7.85
Share-Based Compensation,3.45,2.3,2.32,2.25,1.46,1.15,1.55
Other Operating Activities,42.18,53.82,-44.67,-1.28,18.89,40.32,32.33
Operating Cash Flow,145.65,171.49,0.89,61.55,77.83,61.99,54.58
Operating Cash Flow Growth,-15.07%,19233.26%,-98.56%,-20.91%,25.55%,13.58%,-
Capital Expenditures,-8.47,-5,-7.2,-11.13,-5.37,1.38,-7.88
Acquisitions,69.95,-7.46,0,0,-6.6,0,0
Change in Investments,-517.48,25.3,"-2,108.53",-275.56,-748.96,-199.03,-146.82
Other Investing Activities,-,0.01,-,-4.5,-4,-,-
Investing Cash Flow,-455.99,12.85,"-2,115.73",-291.19,-764.93,-197.65,-154.71
Dividends Paid,-15.89,-11.53,-8.85,-5.86,-5.94,-7,-5.76
Share Issuance / Repurchase,2.95,-1.11,-0.48,-9.89,95.74,0.12,42.55
Debt Issued / Paid,338.08,-662.68,687.17,-25.25,303.96,1.44,-9.7
Other Financing Activities,-361.45,819.38,"1,522.7",445.47,222.84,68.4,56.71
Financing Cash Flow,-36.31,144.07,"2,200.54",404.47,616.59,62.97,83.79
Net Cash Flow,-346.65,328.4,85.7,174.84,-70.51,-72.7,-16.34
Free Cash Flow,137.18,166.49,-6.31,50.43,72.46,63.37,46.7
Free Cash Flow Growth,-17.60%,-,-,-30.40%,14.34%,35.70%,-
Free Cash Flow Margin,44.56%,57.57%,-3.22%,23.94%,37.41%,41.92%,35.25%
Free Cash Flow Per Share,4.47,7.09,-0.27,2.15,3.07,2.88,-
