Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2004
Net Income,"4,304","5,351","1,104","2,908","2,689","2,031","2,339","2,246","2,270","2,414",Upgrade
Depreciation & Amortization,561,531,485,436,435,393,351,391,369,334,Upgrade
Other Operating Activities,"2,275",137,"4,607","2,852","2,067","2,784","1,735","1,217","1,187",769,Upgrade
Operating Cash Flow,"7,140","6,019","6,196","6,196","5,191","5,208","4,425","3,854","3,826","3,517",Upgrade
Operating Cash Flow Growth,18.62%,-2.86%,0%,19.36%,-0.33%,17.69%,14.82%,0.73%,8.79%,15.65%,Upgrade
Capital Expenditures,-227,-194,-261,-284,-254,-218,-179,-167,-145,-231,Upgrade
Acquisitions,0,0,0,0,0,0,0,2,0,0,Upgrade
Change in Investments,"-25,410",234,"1,775","-14,990","-10,325","-8,573","-4,719","-2,710","-4,128","-3,040",Upgrade
Other Investing Activities,-,-,-,-,-,-,-,7,76,108,Upgrade
Investing Cash Flow,"-25,637",40,"1,514","-15,274","-10,579","-8,791","-4,898","-2,868","-4,197","-3,163",Upgrade
Dividends Paid,-703,-636,-576,-573,-552,-527,-514,-515,-467,-399,Upgrade
Share Issuance / Repurchase,"-2,349","-2,251",-338,"-1,761","-2,059","-2,076","-1,901","-1,710","-1,559","-1,283",Upgrade
Debt Issued / Paid,-94,-896,"-4,792","-1,714",796,823,773,"2,017","1,990","2,525",Upgrade
Other Financing Activities,"19,208","-4,533","4,621","4,945","8,961","6,741","4,453","1,510","1,137","2,773",Upgrade
Financing Cash Flow,"16,062","-8,316","-1,085",897,"7,146","4,961","2,811","1,302","1,101","3,616",Upgrade
Net Cash Flow,"-2,435","-2,257","6,625","-8,181","1,758","1,378","2,338","2,288",730,"3,970",Upgrade
Free Cash Flow,"6,913","5,825","5,935","5,912","4,937","4,990","4,246","3,687","3,681","3,286",Upgrade
Free Cash Flow Growth,18.68%,-1.85%,0.39%,19.75%,-1.06%,17.52%,15.16%,0.16%,12.02%,13.39%,Upgrade
Free Cash Flow Margin,62.97%,49.08%,99.68%,71.85%,64.33%,68.19%,58.65%,51.02%,52.33%,46.04%,Upgrade
Free Cash Flow Per Share,25.30,19.88,19.36,18.86,14.70,13.73,10.77,8.63,8.12,6.89,Upgrade
