Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2002
Net Income,"1,446","4,058","2,089","1,933","1,988","2,526","1,430","1,274",981,254,Upgrade
Depreciation & Amortization,"1,031","1,009",751,662,586,535,610,374,333,156,Upgrade
Share-Based Compensation,155,188,139,139,130,135,124,111,97,64,Upgrade
Other Operating Activities,922,"-2,132",-98,-75,-171,"-1,111",-15,-448,103,261,Upgrade
Operating Cash Flow,"3,554","3,123","2,881","2,659","2,533","2,085","2,149","1,311","1,514",735,Upgrade
Operating Cash Flow Growth,13.80%,8.40%,8.35%,4.97%,21.49%,-2.98%,63.92%,-13.41%,105.99%,0.27%,Upgrade
Capital Expenditures,-482,-452,-410,-305,-280,-357,-365,-277,-250,-179,Upgrade
Acquisitions,-59,-66,"-9,446",-352,"-1,246",776,-425,"-3,751","1,697","-2,241",Upgrade
Change in Investments,"1,218",-268,-527,"-1,077",-229,-327,-70,"1,029","-1,411",-101,Upgrade
Other Investing Activities,-,-,22,-6,-,-,-,-5,-504,-2,Upgrade
Investing Cash Flow,677,-786,"-10,361","-1,740","-1,755",92,-860,"-3,004",-468,"-2,523",Upgrade
Dividends Paid,-853,-747,-669,-621,-555,-476,-409,-331,-299,-75,Upgrade
Share Issuance / Repurchase,-705,-320,"-1,321","-1,525","-1,278","-1,037",-104,-705,-690,-64,Upgrade
Debt Issued / Paid,"4,174","-2,639","8,696",370,"1,330",-275,-949,"3,130",-552,"1,369",Upgrade
Other Financing Activities,"-4,457","65,732","19,294","1,352",40,-183,-,-118,-132,-111,Upgrade
Financing Cash Flow,"-1,841","62,026","26,000",-424,-463,"-1,971","-1,462","1,976","-1,673","1,119",Upgrade
Net Cash Flow,"2,367","64,357","18,528",499,304,218,-197,269,-309,-651,Upgrade
Free Cash Flow,"3,072","2,671","2,471","2,354","2,253","1,728","1,784","1,034","1,264",556,Upgrade
Free Cash Flow Growth,15.01%,8.09%,4.97%,4.48%,30.38%,-3.14%,72.53%,-18.20%,127.34%,-16.39%,Upgrade
Free Cash Flow Margin,31.88%,29.13%,29.97%,35.96%,35.90%,29.57%,29.88%,22.08%,29.04%,32.14%,Upgrade
Free Cash Flow Per Share,5.50,4.75,4.48,4.20,3.92,2.93,3.00,1.86,2.22,1.43,Upgrade
