Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,33.31,28.84,13.13,16.76,14.25,9.24,7.43,5.96
Depreciation & Amortization,1.37,1.31,1.3,1.15,1.04,1.01,1.08,0.94
Share-Based Compensation,1.18,0.56,1.1,1.47,0.97,0.67,1.21,0.87
Other Operating Activities,47.88,-58.99,-20.38,-0.39,14.34,-13.06,0.87,1.18
Operating Cash Flow,83.73,-28.28,-4.85,18.98,30.61,-2.15,10.58,8.95
Operating Cash Flow Growth,-,-,-,-37.98%,-,-,18.25%,-
Capital Expenditures,-1.41,-1.13,-0.62,-1.74,-1.2,-0.42,-0.26,-1.88
Change in Investments,-450.37,-284.92,-146.45,-118.58,-145.09,-81.26,-159.82,-115.97
Other Investing Activities,-10,-,-,2.29,-,-,-,-
Investing Cash Flow,-461.78,-286.04,-147.07,-118.03,-146.28,-81.68,-160.08,-117.85
Dividends Paid,-6.68,-5.13,-4.26,-3.15,0,0,0,0
Share Issuance / Repurchase,0.61,0.06,-7.72,-4.83,23.28,0.43,0.16,0.35
Debt Issued / Paid,0,-5,5,0,-25,15,-10,-10
Other Financing Activities,351.62,333.54,179.27,115.34,131.87,111.52,142.06,91.2
Financing Cash Flow,345.56,323.47,172.29,107.36,130.15,126.95,132.22,81.55
Net Cash Flow,-32.49,9.15,20.37,8.31,14.48,43.12,-17.27,-27.35
Free Cash Flow,82.32,-29.4,-5.47,17.24,29.41,-2.57,10.32,7.07
Free Cash Flow Growth,-,-,-,-41.38%,-,-,46.03%,-
Free Cash Flow Margin,89.92%,-38.42%,-10.90%,31.58%,60.00%,-5.92%,28.95%,23.62%
Free Cash Flow Per Share,5.42,-1.94,-0.36,1.10,1.86,-0.17,-,-
