Year,2022,2021,2020,2019,2018,2017,2016
Net Income,85.47,43.7,27.25,23.57,43.7,7.03,-0
Depreciation & Amortization,3.67,3.56,2.61,1.96,3.56,1.49,0
Share-Based Compensation,2.75,1.87,0.45,0,1.87,0,0
Other Operating Activities,-177.24,80.66,-120.89,-4.12,80.66,4.45,-0
Operating Cash Flow,-85.35,129.79,-90.57,21.4,129.79,12.96,-0
Operating Cash Flow Growth,-,-,-,-83.51%,901.32%,-,-
Capital Expenditures,-0.72,-1.49,-0.34,-0.42,-1.49,-0.4,0
Acquisitions,0,-0.15,0,0,-0.15,0,0
Other Investing Activities,-0.52,-0.86,-1.56,-0.61,-0.86,-1.18,-
Investing Cash Flow,-1.24,-2.49,-1.91,-1.03,-2.49,-1.57,0
Dividends Paid,-10.81,-16.11,-4.36,-10.82,-16.11,-11.47,0
Share Issuance / Repurchase,-2.39,0,0,-5.05,0,0,0
Debt Issued / Paid,-1.04,-0.78,-0.8,-0.61,-0.78,0,0.12
Other Financing Activities,-,-,40.82,-,-,-,-0.11
Financing Cash Flow,-14.25,-16.89,35.67,-16.48,-16.89,-11.47,0.01
Net Cash Flow,-100.84,110.41,-56.81,3.89,110.41,-0.08,0.01
Free Cash Flow,-86.07,128.3,-90.92,20.98,128.3,12.56,-0
Free Cash Flow Growth,-,-,-,-83.65%,921.26%,-,-
Free Cash Flow Margin,-22.86%,37.17%,-32.07%,9.73%,37.17%,8.56%,-
Free Cash Flow Per Share,-1.75,2.63,-1.88,3.70,24.65,3.35,-0.00
