Year,2022,2021,2020,2019,2018,2017,2016
Net Income,40.01,52.68,44.68,29.54,25.87,15,14.01
Depreciation & Amortization,8.24,8.81,8.93,8.77,8.73,9.86,11.39
Share-Based Compensation,1.9,3.1,1.93,1.75,1.85,0.94,1.47
Other Operating Activities,52.82,85.25,-77.78,-20.81,17.11,22.1,7.1
Operating Cash Flow,102.97,149.83,-22.25,19.25,53.55,47.89,33.99
Operating Cash Flow Growth,-31.28%,-,-,-64.06%,11.83%,40.90%,-
Capital Expenditures,-1.79,-1.71,-3.81,-2.03,-3.74,-0.56,-1.28
Acquisitions,101.51,0,-9.28,10.38,0,0,-45.44
Change in Investments,-393.28,-416.58,-525.73,-75.09,-148.86,-205.94,-18.66
Other Investing Activities,0.94,0.63,0.43,1.15,-2.1,1.41,5.97
Investing Cash Flow,-292.62,-417.66,-538.39,-65.59,-154.71,-205.09,-59.41
Dividends Paid,-12.8,-10.75,-10.39,-8.91,-7.46,-6.73,-6.16
Share Issuance / Repurchase,-0.74,-0.71,-0.48,60.86,-0.36,-0.29,-0.36
Debt Issued / Paid,377.88,0.08,-0.21,-93.69,63.29,29.1,-31.85
Other Financing Activities,-358.75,348.56,600.68,191.44,-35.67,49.75,5
Financing Cash Flow,5.59,337.18,589.6,149.7,19.81,71.83,-33.37
Net Cash Flow,-184.07,69.35,28.96,103.36,-81.35,-85.37,-58.79
Free Cash Flow,101.18,148.13,-26.06,17.22,49.81,47.33,32.71
Free Cash Flow Growth,-31.70%,-,-,-65.43%,5.23%,44.71%,-
Free Cash Flow Margin,47.96%,62.24%,-11.72%,9.49%,29.41%,28.27%,19.83%
Free Cash Flow Per Share,5.43,8.62,-1.52,1.17,3.62,3.47,2.42
