Year,2022,2021,2020,2019,2018
Net Income,81.48,52.94,46.19,47.2,44.65
Depreciation & Amortization,4.59,4.85,7.56,6,5.17
Share-Based Compensation,2.68,1.8,2.39,2.44,0.92
Other Operating Activities,58.57,10.96,9.63,27.81,-19.72
Operating Cash Flow,147.32,70.54,65.77,83.46,31.02
Operating Cash Flow Growth,108.85%,7.25%,-21.20%,169.06%,-
Capital Expenditures,-1.67,-2.4,-1.61,-0.75,-1.43
Acquisitions,0,0,0,0,31.74
Change in Investments,"-1,205.06",-864.02,-733.07,-545.13,-288.62
Other Investing Activities,4.23,1.01,-20.45,-,-
Investing Cash Flow,"-1,202.49",-865.41,-755.14,-545.88,-258.31
Dividends Paid,-11.21,-9.98,-9.99,-8.3,-1.93
Share Issuance / Repurchase,-13.71,-4.81,-7.14,-5.39,0
Debt Issued / Paid,574.37,83.83,-75,-17.88,-309.73
Other Financing Activities,238.78,"1,017.54",697.72,535.68,503.33
Financing Cash Flow,788.22,"1,086.59",605.6,504.12,191.67
Net Cash Flow,-266.95,291.72,-83.77,41.69,-35.61
Free Cash Flow,145.65,68.14,64.16,82.71,29.59
Free Cash Flow Growth,113.75%,6.21%,-22.43%,179.49%,-
Free Cash Flow Margin,58.56%,33.57%,32.76%,43.08%,16.59%
Free Cash Flow Per Share,4.75,2.19,2.07,2.66,-
