Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,64.33,56.91,32.93,39.21,36.11,25.53,19.08,12.97,10.43
Depreciation & Amortization,11.02,13.54,7.82,6.77,5.14,2.37,1.36,1.02,0.92
Share-Based Compensation,0.85,1.09,0.69,0.69,0.68,0.78,0.89,1.46,1.61
Other Operating Activities,17.62,130.65,83.08,429.8,-126.57,0.11,34.89,13.65,-45.01
Operating Cash Flow,93.81,202.18,124.51,476.47,-84.65,28.78,56.22,29.1,-32.05
Operating Cash Flow Growth,-53.60%,62.37%,-73.87%,-,-,-48.80%,93.23%,-,-
Capital Expenditures,-1.01,-1.99,-4.21,-1.33,-2.49,-0.68,-0.21,-0.47,-0.42
Acquisitions,71.35,0,6.63,0,25.07,0,-35.05,0,0
Change in Investments,-330.51,-482.39,-448.43,-219.07,-344.98,-248.84,42.46,-107,-84.66
Other Investing Activities,-,-19.8,-,1.05,-,-14.92,-,2.09,-
Investing Cash Flow,-260.17,-504.18,-446.01,-219.35,-322.39,-264.45,7.2,-105.38,-85.08
Dividends Paid,-10.74,-9.95,-6.57,-8.03,-5.75,-5.12,-2.55,-3.11,0
Share Issuance / Repurchase,-14.35,-7.07,-7.14,-0.37,9.63,62.51,0.6,0.49,1.71
Debt Issued / Paid,70,68.11,150,-319.5,224.02,25,49.27,0,-7
Other Financing Activities,-489.38,750.63,198.09,104.87,176.78,184.61,-105.91,86.1,193.34
Financing Cash Flow,-444.47,801.72,334.38,-223.04,404.68,267,-58.6,83.48,188.05
Net Cash Flow,-610.82,499.72,12.89,34.08,-2.36,31.34,4.82,7.2,70.92
Free Cash Flow,92.8,200.19,120.31,475.14,-87.14,28.1,56.01,28.63,-32.47
Free Cash Flow Growth,-53.64%,66.39%,-74.68%,-,-,-49.83%,95.65%,-,-
Free Cash Flow Margin,59.54%,143.89%,112.47%,421.24%,-100.34%,37.76%,92.62%,68.07%,-86.18%
Free Cash Flow Per Share,4.86,10.31,6.09,23.74,-5.08,2.00,4.38,2.24,-
