Year,2022,2021,2020,2019,2018
Net Income,-32.16,-8.14,-2.58,8.22,-2.77
Depreciation & Amortization,2.69,1.3,0.04,0.05,0.03
Share-Based Compensation,1.3,0.38,3.66,0,0
Other Operating Activities,23.63,-22.18,-1.02,-0.29,1.56
Operating Cash Flow,-3.94,-20.48,0.11,7.98,-1.18
Operating Cash Flow Growth,-,-,-98.68%,-,-
Capital Expenditures,0,-10.23,0,-0.02,-0.06
Acquisitions,0,0,-5.95,-25.59,0
Change in Investments,-7.09,-1.87,-0.59,-1.64,0
Other Investing Activities,-,-,-0.01,-0,-
Investing Cash Flow,-7.09,-12.1,-6.55,-27.25,-0.06
Dividends Paid,0,0,-0.39,0,0
Share Issuance / Repurchase,0,33.72,0.11,0,0
Debt Issued / Paid,8.1,-0.18,0.44,20.66,5.42
Other Financing Activities,1.71,10.04,2.48,-,-
Financing Cash Flow,9.81,43.58,2.64,20.66,5.42
Net Cash Flow,-1.35,10.96,-3.79,1.47,4.15
Free Cash Flow,-3.94,-30.72,0.11,7.96,-1.24
Free Cash Flow Growth,-,-,-98.67%,-,-
Free Cash Flow Margin,-,-122.90%,1.03%,42.95%,-18.87%
Free Cash Flow Per Share,-0.09,-1.02,0.01,1.12,-0.17
