Year,2022,2021,2020,2019,2018,2017
Net Income,-4.68,-1.94,0.63,0.18,1.12,0.96
Depreciation & Amortization,0.21,0.26,0.23,0.03,0.03,0.01
Share-Based Compensation,2.89,0,0,0,0,0
Other Operating Activities,1.39,0.33,-0.91,0.02,0.22,-0.48
Operating Cash Flow,-0.2,-1.36,-0.05,0.23,1.37,0.5
Operating Cash Flow Growth,-,-,-,-83.34%,175.56%,-
Capital Expenditures,-0,-0,-0,-0.2,-0.01,-0.04
Acquisitions,0,0,0,0.23,0,-0.22
Change in Investments,-28.9,-7.5,0,0,0,0
Investing Cash Flow,-28.9,-7.5,-0,0.04,-0.01,-0.26
Share Issuance / Repurchase,0,36.86,0.01,0,6.09,0
Debt Issued / Paid,0,-0.38,-0.11,-0.38,0.4,0
Other Financing Activities,-,-3.84,-0.37,-0.49,-,-
Financing Cash Flow,0,32.64,-0.48,-0.87,6.49,0
Net Cash Flow,-30.15,23.92,-0.04,-0.66,7.38,0.24
Free Cash Flow,-0.2,-1.37,-0.05,0.03,1.36,0.46
Free Cash Flow Growth,-,-,-,-97.51%,198.35%,-
Free Cash Flow Margin,-14.88%,-49.00%,-1.59%,1.69%,44.21%,29.88%
Free Cash Flow Per Share,-0.08,-0.79,-0.05,0.03,1.36,0.46
