Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,11.25,11.57,-10.64,14.33,7.05,6.94,7.58,8.42,4.29,4.26,Upgrade
Depreciation & Amortization,2.7,2.44,3.34,3.73,3.05,2.5,3.09,2.57,0.76,0.63,Upgrade
Share-Based Compensation,0.6,0.57,0.5,0.32,0.48,0.36,0.35,0.02,0,0,Upgrade
Other Operating Activities,-0.4,-1.52,20.88,-0.51,3.08,1.8,-0.45,40.56,-7.46,3.17,Upgrade
Operating Cash Flow,14.15,13.06,14.08,17.87,13.66,11.6,10.57,51.56,-2.4,8.05,Upgrade
Operating Cash Flow Growth,8.40%,-7.26%,-21.23%,30.84%,17.71%,9.76%,-79.50%,-,-,19.85%,Upgrade
Capital Expenditures,-0.03,-1.54,-0.3,-0.05,-4.43,-3.85,-2.54,-0.6,-6.49,-0.24,Upgrade
Acquisitions,0,0,0,-0.9,19.73,0,0,0,0,0,Upgrade
Change in Investments,-28.28,-58.6,-36.6,-9.34,11,-82.66,-16.85,-29.17,-280.34,-15.37,Upgrade
Other Investing Activities,-,-,-,-0.75,1.16,0.62,1.87,0.83,-6.32,1.21,Upgrade
Investing Cash Flow,-28.31,-60.14,-36.9,-11.04,27.47,-85.89,-17.52,-28.95,-293.15,-14.4,Upgrade
Dividends Paid,-4.92,-5.17,-5.18,-5.22,-4.53,-3.6,-3.59,-3.46,-2.33,-2.07,Upgrade
Share Issuance / Repurchase,-4.58,-4.05,-2,-0.05,-0.1,0.02,-0.01,0,33.62,0.34,Upgrade
Debt Issued / Paid,-34.21,7.81,4.48,-6.41,-35.46,9.08,-5.42,-1.37,42.44,-10.99,Upgrade
Other Financing Activities,41.89,7.25,106.21,31.7,31.69,75.13,18.92,-18.2,217.16,10.19,Upgrade
Financing Cash Flow,-1.82,5.85,103.51,20.03,-8.39,80.63,9.89,-23.03,290.88,-2.53,Upgrade
Net Cash Flow,-15.97,-41.24,80.69,26.86,32.73,6.34,2.94,-0.41,-4.67,-8.88,Upgrade
Free Cash Flow,14.12,11.52,13.78,17.82,9.23,7.76,8.03,50.96,-8.89,7.81,Upgrade
Free Cash Flow Growth,22.64%,-16.44%,-22.67%,93.07%,18.99%,-3.39%,-84.24%,-,-,39.05%,Upgrade
Free Cash Flow Margin,28.84%,20.01%,29.09%,34.93%,21.23%,22.17%,23.30%,146.47%,-39.17%,41.62%,Upgrade
Free Cash Flow Per Share,2.75,2.14,2.55,3.28,1.85,1.90,1.97,12.52,-3.38,3.17,Upgrade
