Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,23.44,10.07,7.98,6.69,8.47,6.55,5.75,3.12,1.9,6.9,Upgrade
Depreciation & Amortization,5.09,4.4,1.96,1.2,1.23,1.25,1.27,1.16,1.15,1.27,Upgrade
Share-Based Compensation,0.69,0.52,0.26,0.53,0.07,0.01,0.03,0.03,0.05,0.11,Upgrade
Other Operating Activities,-6.53,-1.93,-0.95,0.93,2,0.98,-1.76,1.23,4.54,0.35,Upgrade
Operating Cash Flow,22.69,13.07,9.25,9.35,11.76,8.8,5.29,5.54,7.65,8.63,Upgrade
Operating Cash Flow Growth,73.63%,41.20%,-1.00%,-20.51%,33.68%,66.19%,-4.48%,-27.53%,-11.37%,55.14%,Upgrade
Capital Expenditures,5.77,-1.26,-0.2,-0.19,-0.85,-0.46,-0.58,-0.37,-0.79,-0.44,Upgrade
Acquisitions,0,153.28,-0.05,-0.05,-0.1,-0.3,-0.7,0,0,0,Upgrade
Change in Investments,-166.61,110.17,-129.7,-55.7,-3.5,-58.55,-41.6,-43.45,-20.02,-36.82,Upgrade
Other Investing Activities,-6.36,-,-,1.18,-,-2,-,-,-,-,Upgrade
Investing Cash Flow,-167.2,262.19,-129.95,-54.77,-4.44,-61.32,-42.87,-43.82,-20.81,-37.27,Upgrade
Dividends Paid,-6.39,-6.41,-3.25,-3.14,-2.47,-1.39,-1.09,-0.89,-0.67,-0.4,Upgrade
Share Issuance / Repurchase,0.02,0.03,0,0.1,0.27,0.98,-1.08,-6.32,-0.08,0,Upgrade
Debt Issued / Paid,0,-42.58,30,0,-34.09,14.39,-3.46,5.16,1.7,12.3,Upgrade
Other Financing Activities,-317.82,247.85,109.55,48.68,29.57,18.31,38.18,29.75,26.26,-14.96,Upgrade
Financing Cash Flow,-324.19,198.89,136.31,45.63,-6.72,32.3,32.56,27.7,27.2,-3.07,Upgrade
Net Cash Flow,-468.7,474.15,15.61,0.21,0.6,-20.22,-5.03,-10.58,14.04,-31.71,Upgrade
Free Cash Flow,28.45,11.81,9.05,9.16,10.91,8.33,4.72,5.17,6.85,8.18,Upgrade
Free Cash Flow Growth,140.98%,30.40%,-1.12%,-16.08%,30.95%,76.71%,-8.85%,-24.51%,-16.26%,97.87%,Upgrade
Free Cash Flow Margin,42.40%,21.69%,31.41%,35.08%,41.09%,31.04%,19.94%,24.97%,34.71%,25.46%,Upgrade
Free Cash Flow Per Share,5.34,2.22,3.34,3.40,4.09,3.13,1.80,1.93,2.30,2.76,Upgrade
