Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,102.5,145.9,-25.9,37.6,73.6,9.7,59.1,104.3,57.4,96.3
Depreciation & Amortization,62.7,57.6,74.2,71.7,45.8,44.5,43.3,41.7,40.7,37.1
Share-Based Compensation,19.3,19.5,13.6,8.9,9.2,6.8,2.5,1.6,2.1,2.1
Other Operating Activities,-34.3,-43,92.3,-63.7,-62.3,30.4,1.1,-26.7,25.1,3.8
Operating Cash Flow,150.2,180,154.2,54.5,66.3,91.4,106,120.9,125.3,139.3
Operating Cash Flow Growth,-16.56%,16.73%,182.94%,-17.80%,-27.46%,-13.77%,-12.32%,-3.51%,-10.05%,-
Capital Expenditures,-54.2,-42.3,-31.1,-14.2,-37.1,-27.8,-26.2,-27.1,-28.8,-19.6
Acquisitions,3.3,-3.6,0,-8.5,65,0,0,0,-6,0
Change in Investments,0,0,11.6,10.5,3.1,-3.4,-3.5,-10,0,0
Other Investing Activities,-,0.9,-0.3,-,-0.8,0.2,0.4,-,5.3,8.5
Investing Cash Flow,-50.9,-45,-19.8,-12.2,30.2,-31,-29.3,-37.1,-29.5,-11.1
Share Issuance / Repurchase,-164.3,-38.6,-11.8,-1.8,-0.3,17.9,0,0,0,0
Debt Issued / Paid,43.2,-116.4,-63.8,-72.7,-98.7,-132,280.1,-38.8,-27.5,-19.3
Other Financing Activities,-,0.1,-1.9,-,-,68.4,-340.1,-56,-62.9,-112.4
Financing Cash Flow,-121.1,-154.9,-77.5,-74.5,-99,-45.7,-60,-94.8,-90.4,-131.7
Net Cash Flow,-20.3,-19.1,56.4,-30.1,-4.7,15.8,21.1,-13.5,7.4,-6
Free Cash Flow,96,137.7,123.1,40.3,29.2,63.6,79.8,93.8,96.5,119.7
Free Cash Flow Growth,-30.28%,11.86%,205.46%,38.01%,-54.09%,-20.30%,-14.93%,-2.80%,-19.38%,-
Free Cash Flow Margin,11.52%,13.86%,13.76%,4.61%,3.03%,6.33%,8.11%,8.94%,8.93%,11.03%
Free Cash Flow Per Share,3.12,4.11,3.63,1.18,0.86,1.92,2.45,2.90,2.98,-
