Year,2022,2021,2020,2019,2018,2017
Net Income,-0.57,2.62,1.08,-0.08,1.08,0.91
Depreciation & Amortization,0.52,0.56,0.58,0.53,0.54,0.56
Share-Based Compensation,0.51,0.16,0.09,0.11,0,0
Other Operating Activities,0.51,-0.92,-0.32,0.5,-2.29,1.89
Operating Cash Flow,0.97,2.42,1.42,1.06,-0.67,3.36
Operating Cash Flow Growth,-59.81%,70.37%,34.18%,-,-,-
Capital Expenditures,-0.1,-0.04,-0.32,-0.29,-0.18,-1.4
Change in Investments,-57.97,-43.46,-31.59,-22.86,-27.1,-30.54
Other Investing Activities,-,-,-,0.02,-,-
Investing Cash Flow,-58.07,-43.5,-31.9,-23.13,-27.28,-31.94
Share Issuance / Repurchase,-0.63,-0.52,-0.23,22.71,0,0
Debt Issued / Paid,69.94,-22.86,-13.9,-9.52,3.51,22.09
Other Financing Activities,-10.59,65.09,46.6,7,24.68,4.36
Financing Cash Flow,58.71,41.72,32.47,20.19,28.19,26.46
Net Cash Flow,1.61,0.64,1.99,-1.88,0.24,-2.12
Free Cash Flow,0.87,2.39,1.11,0.77,-0.85,1.97
Free Cash Flow Growth,-63.52%,115.84%,43.32%,-,-,-
Free Cash Flow Margin,5.52%,14.63%,7.76%,5.91%,-6.70%,15.81%
Free Cash Flow Per Share,0.15,0.41,0.23,0.34,-0.17,-
