Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2011
Net Income,-32.81,-45.98,-247.35,-30.22,4.99,-18.35,-2.4,-1.19,-46.41,-47.72,Upgrade
Depreciation & Amortization,38.67,39.54,46.96,31.14,13.31,2.94,1.17,0.8,0.36,0.22,Upgrade
Share-Based Compensation,4.05,4.55,5.56,8.87,10.02,8.47,11.86,14.51,21.51,25.04,Upgrade
Other Operating Activities,-4.25,-13.33,192.05,-1.46,-11.99,26.36,74.22,10.68,-0.53,0.02,Upgrade
Operating Cash Flow,42.11,20.84,32.21,24.7,21.52,19.42,84.86,24.8,-25.07,-22.45,Upgrade
Operating Cash Flow Growth,102.09%,-35.31%,30.41%,14.78%,10.84%,-77.12%,242.16%,-,-,-,Upgrade
Capital Expenditures,-14.33,-5.97,-4.59,-29.81,-24.9,-3.57,-6.24,-2.14,-3.47,-0.37,Upgrade
Acquisitions,-8.89,-0.25,-1.44,0.98,-3.2,-19.59,1.38,-5.5,0,0,Upgrade
Change in Investments,1.38,-0.34,0,0,0,0,0,0,0,0,Upgrade
Other Investing Activities,-0.53,-2.88,-,-,-,-,-,-,-,-,Upgrade
Investing Cash Flow,-22.37,-9.44,-6.03,-28.83,-28.1,-23.16,-4.87,-7.64,-3.47,-0.37,Upgrade
Share Issuance / Repurchase,-0.27,-0.12,-0.02,-12.39,18.93,-0.02,-0.02,-0.08,0,0,Upgrade
Debt Issued / Paid,33.56,-5.56,24.22,19.12,4.89,9.82,-0.04,0.07,-0.21,0,Upgrade
Other Financing Activities,-44.01,-15.97,-21.47,-8.79,-3.31,-54.33,-42.05,5.87,57.75,23.41,Upgrade
Financing Cash Flow,-10.71,-21.65,2.73,-2.07,20.51,-44.53,-42.11,5.86,57.54,23.41,Upgrade
Net Cash Flow,9,-10.22,29.42,-6.19,13.89,-48.29,37.89,23.02,29,0.6,Upgrade
Free Cash Flow,27.78,14.87,27.62,-5.11,-3.38,15.85,78.62,22.66,-28.55,-22.81,Upgrade
Free Cash Flow Growth,86.85%,-46.18%,-,-,-,-79.84%,246.88%,-,-,-,Upgrade
Free Cash Flow Margin,4.31%,3.87%,9.42%,-1.78%,-1.73%,19.43%,116.29%,38.43%,-165.11%,-2376.15%,Upgrade
Free Cash Flow Per Share,9.53,5.39,12.09,-2.12,-1.56,7.80,39.08,11.38,-14.41,-11.52,Upgrade
