Year,2022,2021,2020,2019
Net Income,22.66,22.38,19.41,20.2
Depreciation & Amortization,1.94,1.73,1.15,0.72
Share-Based Compensation,1.47,0,0,0
Other Operating Activities,-58.72,-132.41,119.04,-1.14
Operating Cash Flow,-32.65,-108.31,139.6,19.78
Operating Cash Flow Growth,-,-,605.74%,-
Capital Expenditures,-0.58,-0.01,-0.25,-0.24
Acquisitions,0,-7.47,0,0
Change in Investments,-141.03,-0.95,10,0
Investing Cash Flow,-141.61,-8.44,9.76,-0.24
Dividends Paid,-3.73,-3.85,-4.28,-3.68
Share Issuance / Repurchase,-1.93,73.23,0,0
Debt Issued / Paid,-0.64,78.84,-24.89,-5.13
Other Financing Activities,-,-16.81,-1.69,-1.37
Financing Cash Flow,-6.3,131.4,-30.85,-10.17
Net Cash Flow,-180.57,14.66,118.5,9.36
Free Cash Flow,-33.24,-108.32,139.35,19.54
Free Cash Flow Growth,-,-,613.23%,-
Free Cash Flow Margin,-40.12%,-166.85%,258.82%,36.24%
Free Cash Flow Per Share,-1.21,-4.98,6.60,0.93
