Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,45.21,45.44,38.05,26.69,25.46,15.31,14.91,-4.4
Depreciation & Amortization,3.97,3.19,3.17,2.34,1.87,1.26,0.92,0.63
Share-Based Compensation,1.66,1.39,1.08,0.69,0.56,0.47,0.42,0
Other Operating Activities,-10.84,-9.74,1.66,-7.07,-4.83,1.29,-1.84,11.62
Operating Cash Flow,40.01,40.28,43.96,22.65,23.05,18.32,14.42,7.85
Operating Cash Flow Growth,-0.68%,-8.37%,94.11%,-1.75%,25.81%,27.11%,83.65%,-
Capital Expenditures,-6.87,-8.17,-8.09,-7.27,-7.48,-2.83,-1.32,-0.19
Acquisitions,158.73,4.49,39.11,-20.03,2.94,-5,1.75,-46.24
Change in Investments,-329.99,-92.36,-242.52,-80.56,-29.44,-33.93,-84.18,57.56
Other Investing Activities,0.32,2.16,5.47,1.7,3.89,0.33,0.72,-
Investing Cash Flow,-177.81,-93.89,-206.03,-106.15,-30.1,-41.43,-83.03,11.14
Dividends Paid,-7.82,-8.73,-6.15,-5.46,-4.53,-4.05,-3.67,-2.15
Share Issuance / Repurchase,-14.2,-8.16,-4.35,-4.21,-9.1,-2.74,-2.14,0
Debt Issued / Paid,55.19,-10.64,-50.71,54.38,-24.58,17.46,4.49,5.26
Other Financing Activities,-72.88,207.77,307.03,17.51,51.02,34.24,64.45,-79.17
Financing Cash Flow,-39.71,180.24,245.83,62.21,12.81,44.92,63.13,-76.06
Net Cash Flow,-177.51,126.64,83.77,-21.29,5.77,21.82,-5.49,-57.07
Free Cash Flow,33.14,32.11,35.88,15.38,15.57,15.5,13.09,7.66
Free Cash Flow Growth,3.19%,-10.49%,133.26%,-1.22%,0.46%,18.37%,70.86%,-
Free Cash Flow Margin,27.22%,29.06%,36.38%,19.96%,21.73%,28.44%,27.44%,26.09%
Free Cash Flow Per Share,3.67,4.21,4.64,2.17,2.34,2.33,1.97,-
