Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,-15.93,-6,39.78,-2.82,-11.08,-7.18,-5.14,-3.5,59.68,-5.29
Depreciation & Amortization,0.44,0.45,0.43,0.44,0.44,0.3,0,7.47,1.07,0.03
Share-Based Compensation,0.34,0.89,1.92,2.4,4.47,6.99,9.59,6.87,1.48,7.84
Other Operating Activities,-11.91,-13.01,-23.56,-6.97,3.55,0.05,-4.84,-194.28,-197.58,-24.4
Operating Cash Flow,-27.06,-17.68,18.61,-6.74,-2.43,0.37,-0.19,-183.24,-135.36,-21.83
Capital Expenditures,-1.54,-0.51,-0.09,-0.16,-0.15,-1.22,0,7.49,-23.17,-5.98
Acquisitions,0,0,0,0,0,0,-152.86,-5.01,0,-1.15
Change in Investments,-83.71,58.91,0,0,0.04,-0.63,0,494.32,-910.62,"-1,168.75"
Other Investing Activities,-,0.51,3.64,-0.02,-,-,-,-29.86,-41.12,-12.35
Investing Cash Flow,-85.25,58.91,3.56,-0.19,-0.11,-1.84,-152.86,466.94,-974.92,"-1,188.23"
Share Issuance / Repurchase,-2.88,0,0,0,-3.15,-4.33,-10.91,-8.68,-233.08,0.94
Debt Issued / Paid,51.65,0,0,0,0,0,0,-76.22,731.32,599.1
Other Financing Activities,-1.99,-4.8,-0.3,-0.24,-0.5,-1.43,-0.57,-123.76,588.83,645.01
Financing Cash Flow,46.78,-4.8,-0.3,-0.24,-3.65,-5.76,-11.48,-208.66,"1,087.06","1,245.04"
Net Cash Flow,-65.53,36.43,21.87,-7.17,-6.18,-7.24,-164.53,75.05,-23.22,34.99
Free Cash Flow,-28.61,-18.19,18.52,-6.91,-2.57,-0.85,-0.19,-175.74,-158.53,-27.8
Free Cash Flow Margin,-576.15%,-,-,-,-16.16%,-4.69%,-0.96%,-70.84%,-37.45%,-38.46%
Free Cash Flow Per Share,-14.92,-9.08,11.35,-4.34,-1.60,-0.54,-0.11,-79.78,-70.09,-11.85
