Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,14.49,33.57,20.19,26.44,26.19,22.61,23.2,7.67,10.18,17.54,Upgrade
Other Operating Activities,-70.78,-109.68,-23.68,-119.72,-128.62,-3.76,-14.36,-32.12,-37.35,-85.95,Upgrade
Operating Cash Flow,-56.29,-76.1,-3.49,-93.29,-102.42,18.85,8.84,-24.44,-27.17,-68.41,Upgrade
Operating Cash Flow Growth,-,-,-,-,-,113.32%,-,-,-,-,Upgrade
Dividends Paid,-26.59,-21.04,-24.34,-24.68,-21.59,-19.93,-16.97,-16.97,-15.69,-15.5,Upgrade
Share Issuance / Repurchase,2.16,0.45,4.79,45.86,-0,48.74,-0,0,5.12,0,Upgrade
Debt Issued / Paid,85.33,122.59,27.37,72.53,116.75,-26.38,6.5,50.24,28.36,36,Upgrade
Other Financing Activities,-0.74,-0.19,-1.99,-1.76,-0.37,-5.37,-0.05,-,-2.23,-0.56,Upgrade
Financing Cash Flow,60.16,101.8,5.83,91.95,94.78,-2.93,-10.52,33.27,15.55,19.94,Upgrade
Net Cash Flow,3.87,25.7,2.34,-1.33,-7.64,15.92,-1.68,8.83,-11.62,-48.47,Upgrade
Free Cash Flow,-56.29,-76.1,-3.49,-93.29,-102.42,18.85,8.84,-24.44,-27.17,-68.41,Upgrade
Free Cash Flow Growth,-,-,-,-,-,113.32%,-,-,-,-,Upgrade
Free Cash Flow Margin,-74.94%,-119.51%,-6.16%,-158.35%,-192.28%,47.54%,22.38%,-69.53%,-84.05%,-232.68%,Upgrade
Free Cash Flow Per Share,-2.88,-3.90,-0.18,-5.10,-6.42,1.27,0.71,-1.96,-2.21,-5.67,Upgrade
