Year,2022,2021,2020,2019,2018,2017,2016
Net Income,-77.74,47.41,-45.08,4.26,16.6,-10.21,4.42
Depreciation & Amortization,47.53,27.11,20.22,14.1,11.82,10.59,8.38
Share-Based Compensation,27.62,18.86,19.49,19.18,6.77,5.71,4.5
Other Operating Activities,250.47,70.06,158.24,180.83,103.18,133.03,96.6
Operating Cash Flow,247.88,163.45,152.87,218.37,138.37,139.12,113.9
Operating Cash Flow Growth,51.65%,6.92%,-30.00%,57.81%,-0.53%,22.14%,-
Capital Expenditures,-48.89,-26.48,-21.77,-26.22,-17.94,-12.02,-14.2
Acquisitions,0,-111.65,0,0,0,0,0
Change in Investments,"-1,116.66",-734.36,42.98,-471.46,-453.48,-331.37,-295.56
Other Investing Activities,-6,-12.3,-4.83,-,-,-,-
Investing Cash Flow,"-1,171.55",-884.79,16.38,-497.68,-471.43,-343.39,-309.76
Share Issuance / Repurchase,-8.67,-3.23,-1.54,61.59,-0.35,-3.28,-0.89
Debt Issued / Paid,943.2,748.94,-134.76,224.95,368.43,233.97,222.8
Other Financing Activities,-,-,-0.5,-0.27,-,-,-
Financing Cash Flow,934.53,745.71,-136.8,286.27,368.07,230.69,221.91
Net Cash Flow,10.86,24.37,32.45,6.97,35.02,26.42,26.06
Free Cash Flow,198.98,136.97,131.1,192.15,120.43,127.1,99.7
Free Cash Flow Growth,45.27%,4.48%,-31.77%,59.55%,-5.25%,27.47%,-
Free Cash Flow Margin,31.06%,25.82%,39.13%,43.00%,26.33%,56.18%,55.89%
Free Cash Flow Per Share,6.06,4.86,4.80,20.56,46.58,52.52,41.33
