Year,2022,2021,2020,2019,2018,2017,2016
Net Income,-190.18,-101.73,-293.94,-905.9,2.17,-84.86,-200.49
Depreciation & Amortization,5.56,12.36,15.23,12.29,4.7,4.08,2.95
Share-Based Compensation,4.53,3.79,11.9,17.85,131.26,31.02,25.67
Other Operating Activities,169.57,53.4,323.78,"1,050.84",93.78,214.62,48.82
Operating Cash Flow,-10.52,-32.18,56.96,175.08,231.91,164.85,-123.07
Operating Cash Flow Growth,-,-,-67.46%,-24.50%,40.68%,-,-
Capital Expenditures,-0.04,1.79,-96.88,-10.02,-4.07,-2.82,-1.3
Acquisitions,100.4,-101.45,0.32,-538.52,-582.58,0,0.31
Change in Investments,-13.68,-19.8,289.18,32.83,867.25,"-1,405.05",-107.19
Other Investing Activities,-,-,-,-23,-,-,-
Investing Cash Flow,86.69,-119.46,192.62,-538.7,280.6,"-1,407.86",-108.18
Share Issuance / Repurchase,0,0,0.02,0.03,316.45,0,0
Debt Issued / Paid,-57.89,-132.34,-286.66,71.2,-412.82,"1,565.91",71.85
Other Financing Activities,-,0,-,153.15,-103.71,0.01,184.85
Financing Cash Flow,-57.89,-132.33,-286.64,224.37,-200.09,"1,565.92",256.7
Net Cash Flow,31.42,-297.56,-58.56,-129.14,334.15,322.88,25.46
Free Cash Flow,-10.55,-30.4,-39.91,165.06,227.84,162.04,-124.36
Free Cash Flow Growth,-,-,-,-27.55%,40.61%,-,-
Free Cash Flow Margin,-14.15%,-17.55%,-10.55%,12.84%,14.21%,21.24%,-226.63%
Free Cash Flow Per Share,-1.23,-3.55,-4.70,20.48,78.88,90.29,-75.97
