Year,2022,2021,2020,2019,2018,2017,2016
Net Income,91.78,10.41,28.05,-12.87,-0.59,-48.36,15.72
Depreciation & Amortization,277.12,202.47,160.23,141.39,98.75,71.05,56.62
Share-Based Compensation,30.45,31.6,22.29,18.33,44.47,34.88,8.52
Other Operating Activities,-110.76,69.43,0.8,47.92,-36.71,11.52,-3.71
Operating Cash Flow,288.6,313.92,211.36,194.77,105.92,69.09,77.15
Operating Cash Flow Growth,-8.07%,48.52%,8.52%,83.89%,53.31%,-10.45%,-
Capital Expenditures,-21.02,-11.02,-19.35,-25.47,-9.11,-10.52,-3.41
Acquisitions,-461.52,-979.06,-348.67,-532.51,-413.04,-365.7,-171.2
Change in Investments,7.36,-17.23,-4.95,1.53,-24.3,-0.5,-12.85
Other Investing Activities,-,-,-,-,-,-,0.67
Investing Cash Flow,-475.18,"-1,007.31",-372.97,-556.46,-446.45,-376.72,-186.8
Share Issuance / Repurchase,1.16,170.25,6.91,0.84,503.62,-795.89,-0.04
Debt Issued / Paid,106.5,884.77,227.8,435.41,-165.84,507.07,121.82
Other Financing Activities,-90.66,-116.23,-72.88,-42.68,-15.3,631.23,-10.91
Financing Cash Flow,16.99,938.8,161.83,393.57,322.49,342.4,110.86
Net Cash Flow,-170.71,244.83,0.68,31.97,-18.24,34.95,1.01
Free Cash Flow,267.58,302.9,192.01,169.3,96.81,58.57,73.74
Free Cash Flow Growth,-11.66%,57.75%,13.41%,74.88%,65.29%,-20.57%,-
Free Cash Flow Margin,12.48%,16.85%,14.10%,13.90%,10.63%,8.84%,15.19%
Free Cash Flow Per Share,4.08,5.29,3.94,3.62,2.25,-,-
