Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,265.69,265.74,185.75,284.39,264.39,183.68,230.18,213.78,216.67
Depreciation & Amortization,56.75,51.84,63.07,67.82,54.9,62.02,52.18,25.68,25.92
Share-Based Compensation,10.3,13.11,10.03,7.83,6.19,5.29,4.51,0,0
Other Operating Activities,97.88,86.44,-49.35,-63.54,25.93,18.78,-66.77,-96.85,4.16
Operating Cash Flow,430.61,417.13,209.51,296.5,351.41,269.77,220.09,142.6,246.75
Operating Cash Flow Growth,3.23%,99.10%,-29.34%,-15.63%,30.26%,22.57%,54.34%,-42.21%,-
Capital Expenditures,4.01,-16.44,-33.39,-29.35,-35.88,-1.93,-15.47,-15.91,-20.74
Change in Investments,-964.43,"-2,367.79","-2,073.65",396.88,-213.87,-971.59,"-1,891.67",259.65,"-1,511.1"
Other Investing Activities,-4.68,7.9,3.28,7.68,-8.06,2.44,10.45,0.09,-10.31
Investing Cash Flow,-965.1,"-2,376.32","-2,103.76",375.21,-257.81,-971.08,"-1,896.69",243.83,"-1,542.15"
Dividends Paid,-132.59,-134.13,-135.1,-138.25,-131.04,-124.93,-447,-164.23,-192.53
Share Issuance / Repurchase,-9.1,-74.45,-4.69,-136.24,-131.46,0.53,0,0,0
Debt Issued / Paid,75,-200.01,-400.01,-0.01,599.99,-9.16,-207.01,-170.01,-207.06
Other Financing Activities,-130.67,"2,585.32","2,780.98",-706.84,-462.11,817.45,732.46,"1,336.55","1,147.03"
Financing Cash Flow,-197.36,"2,176.72","2,241.18",-981.34,-124.61,683.89,78.46,"1,002.31",747.44
Net Cash Flow,-731.85,217.53,346.93,-309.62,-31.01,-17.41,"-1,598.14","1,388.74",-547.95
Free Cash Flow,434.62,400.69,176.12,267.15,315.53,267.85,204.62,126.7,226.01
Free Cash Flow Growth,8.47%,127.51%,-34.08%,-15.33%,17.80%,30.90%,61.50%,-43.94%,-
Free Cash Flow Margin,54.90%,53.11%,28.81%,35.52%,43.63%,37.41%,28.86%,18.90%,35.21%
Free Cash Flow Per Share,3.41,3.11,1.36,2.01,2.30,1.92,1.47,0.91,1.62
