Year,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,145.99,98.02,60.83,33.57,17.34,0.61,0,0,62.46
Depreciation & Amortization,15.39,11.51,7.93,2.98,1.89,1.92,2.03,1.87,1.85
Share-Based Compensation,7.4,7.08,7.18,6.38,5.54,4.68,3.73,3.39,3.07
Other Operating Activities,0.75,71.55,40.43,68.69,71.92,74.47,103.42,71.65,-0.53
Operating Cash Flow,169.52,188.16,116.37,111.62,96.69,81.68,109.18,76.9,66.86
Operating Cash Flow Growth,-9.90%,61.69%,4.26%,15.44%,18.38%,-25.19%,41.96%,15.02%,-
Capital Expenditures,-8.53,-18.64,-1.98,-5.37,-2.25,-1.28,-0.92,-3.87,-1.51
Acquisitions,4.91,31.2,7.53,9.67,-5.23,0,0,0,0
Change in Investments,-66.88,-433.34,-51.28,-23.52,-14.29,-15.44,3.42,-6.19,-0.78
Other Investing Activities,-,-1,-4.17,-,-,-,-,-,-
Investing Cash Flow,-70.49,-421.78,-49.9,-19.21,-21.77,-16.72,2.5,-10.06,-2.29
Dividends Paid,-49.63,-39.68,-29.07,-18.68,-9.51,0,0,0,0
Share Issuance / Repurchase,72.21,468.76,142.48,188.38,119.04,204.43,0,0,0
Debt Issued / Paid,8.16,88.59,19.27,-13.26,-1.97,-162.6,132.31,-15.62,-26
Other Financing Activities,-143.95,-247.02,-197.39,-246.65,-167.23,-143.04,-242.41,-59.28,-20.17
Financing Cash Flow,-113.22,270.66,-64.71,-90.21,-59.67,-101.21,-110.1,-74.9,-46.17
Net Cash Flow,-14.18,37.17,1.62,2.21,15.25,-36.25,1.57,-8.06,18.4
Free Cash Flow,161,169.52,114.4,106.26,94.44,80.4,108.25,73.03,65.35
Free Cash Flow Growth,-5.03%,48.19%,7.66%,12.51%,17.45%,-25.73%,48.23%,11.75%,-
Free Cash Flow Margin,43.76%,49.62%,41.74%,42.14%,38.70%,44.71%,59.88%,47.00%,46.76%
Free Cash Flow Per Share,3.02,3.21,2.21,2.12,2.00,4.52,2.40,-,-
