Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,-0.58,4.14,3.53,4.29,0.89,0.71,2.81,2.15,1.59
Depreciation & Amortization,0.69,0.71,0.68,0.79,0.73,0.82,0.82,0.51,0.51
Share-Based Compensation,0.59,0.56,0.45,0.43,0.41,0,0,0,0
Other Operating Activities,10.05,-0.1,-3.06,-2.99,3.74,-0.8,0.96,3.08,5.28
Operating Cash Flow,10.76,5.31,1.61,2.53,5.77,0.73,4.59,5.74,7.37
Operating Cash Flow Growth,102.47%,229.25%,-36.27%,-56.15%,685.86%,-84.00%,-20.07%,-22.07%,-
Capital Expenditures,-0.69,-0.85,-0.37,-0.39,-0.47,-0.53,-0.81,-0.58,-0.7
Change in Investments,-4.9,-11.05,-11.55,0.87,-3.13,-26.35,0.9,-4.05,-7.42
Other Investing Activities,-0.66,-0.25,-1.19,-0.88,-0.56,-1,-1.69,-0.56,-
Investing Cash Flow,-6.26,-12.15,-13.11,-0.39,-4.15,-27.87,-1.6,-5.19,-8.11
Share Issuance / Repurchase,-2.51,-0.14,-0.15,-0.15,-3,29.09,0,0,0
Debt Issued / Paid,-3.46,4.99,11.62,-0.01,-0.85,0.55,0.51,0.49,-0.36
Other Financing Activities,-,-,-,-,-,-,-1.31,-,-
Financing Cash Flow,-5.96,4.85,11.47,-0.16,-3.85,29.64,-0.79,0.49,-0.36
Net Cash Flow,-1.47,-1.99,-0.03,1.98,-2.23,2.5,2.2,1.04,-1.11
Free Cash Flow,10.06,4.46,1.25,2.15,5.31,0.2,3.78,5.16,6.67
Free Cash Flow Growth,125.35%,258.29%,-41.93%,-59.56%,2502.74%,-94.61%,-26.77%,-22.62%,-
Free Cash Flow Margin,14.44%,7.27%,2.20%,3.61%,10.37%,0.42%,8.43%,12.35%,16.76%
Free Cash Flow Per Share,3.32,1.47,0.41,0.71,1.70,0.07,1.20,1.48,-
