Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2007
Net Income,-167.84,437.6,200.44,81.35,15.51,11.56,21.53,11.81,-5.8,1.06,Upgrade
Depreciation & Amortization,39.97,25.87,19.37,19.05,13.81,11.14,4.31,0.85,0.65,1.86,Upgrade
Share-Based Compensation,61.14,36.01,18.59,15.92,13.04,10.34,2.77,2.04,0,0,Upgrade
Other Operating Activities,65.37,-456.04,-185.42,-143.77,-144.55,-114.83,51.68,16.98,-17.88,-5.41,Upgrade
Operating Cash Flow,6.65,50.89,57.69,-27.2,-102.19,-81.79,80.28,31.67,-23.03,-2.49,Upgrade
Operating Cash Flow Growth,-86.93%,-11.78%,-,-,-,-,153.48%,-,-,-,Upgrade
Capital Expenditures,-3.92,-0.66,-2.04,-2.95,-5.4,0.01,-0.63,-0.24,-0.25,-1.14,Upgrade
Acquisitions,-89.11,-373.25,144.05,-252.47,-93.24,-22.17,-33.43,-2.45,2.67,-1.59,Upgrade
Change in Investments,60.73,-582.62,-120.22,-182.29,-55.43,-1.67,0,0,1.2,0.61,Upgrade
Other Investing Activities,-,-,-,-,-,6,-,7.6,-7.28,7.6,Upgrade
Investing Cash Flow,-32.29,-956.53,21.79,-437.71,-154.07,-17.84,-34.06,4.92,-3.67,5.48,Upgrade
Dividends Paid,-119.45,-347.14,-38.79,-41.14,-22.68,-16.76,-5.33,-5.22,-0.48,0,Upgrade
Share Issuance / Repurchase,-16.8,52.44,-70.83,-4.21,-18.7,0,21.6,0,51.23,0,Upgrade
Debt Issued / Paid,326.72,"1,059.73",151,249.4,331.04,165.6,26.14,-18.29,-19.49,-1.15,Upgrade
Other Financing Activities,-172.83,316.02,-122.07,185.24,-4.8,-14.75,-2.01,-4.54,-1.79,-1.93,Upgrade
Financing Cash Flow,17.64,"1,081.05",-80.69,389.29,284.86,134.09,40.4,-28.05,29.47,-3.08,Upgrade
Net Cash Flow,-8,175.41,-1.21,-75.61,28.6,34.47,86.62,8.54,2.73,0.15,Upgrade
Free Cash Flow,2.74,50.23,55.65,-30.15,-107.58,-81.78,79.65,31.44,-23.28,-3.63,Upgrade
Free Cash Flow Growth,-94.55%,-9.73%,-,-,-,-,153.36%,-,-,-,Upgrade
Free Cash Flow Margin,0.25%,3.23%,6.67%,-4.62%,-25.43%,-25.38%,41.84%,27.94%,-30.19%,-4.77%,Upgrade
Free Cash Flow Per Share,0.10,1.84,2.17,-1.14,-4.15,-3.53,4.40,1.94,-2.42,-2.53,Upgrade
