Year,2022,2021,2020,2019,2018
Net Income,-30,25.42,3.85,-5.13,2.68
Depreciation & Amortization,4.27,2.47,2.52,2.22,1.8
Share-Based Compensation,2.94,2.8,1.94,2.02,0.71
Other Operating Activities,32.6,-12.14,-35.82,5.93,2.7
Operating Cash Flow,9.8,18.55,-27.5,5.05,7.89
Operating Cash Flow Growth,-47.18%,-,-,-36.01%,-
Capital Expenditures,-0.49,33.45,2.84,-3.82,-5.76
Acquisitions,0,0,-1.01,0,0
Change in Investments,-776.57,-244.59,-206.44,-34.85,-120.85
Investing Cash Flow,-777.06,-211.14,-204.6,-38.67,-126.61
Share Issuance / Repurchase,0,125.14,-4.71,-15.76,0
Debt Issued / Paid,396.03,-25.87,33.68,35,33
Other Financing Activities,271.7,175.14,247.54,-27.72,95.77
Financing Cash Flow,667.73,274.4,276.5,-8.48,128.78
Net Cash Flow,-99.53,81.82,44.4,-42.1,10.05
Free Cash Flow,9.31,52,-24.66,1.23,2.12
Free Cash Flow Growth,-82.10%,-,-,-42.09%,-
Free Cash Flow Margin,19.00%,57.29%,-46.73%,3.03%,5.54%
Free Cash Flow Per Share,0.41,3.11,-1.48,0.07,0.12
