Year,2021,2020,2019,2018,2017
Net Income,193.89,62.63,0,0,81.44
Depreciation & Amortization,26.98,5.5,7.08,7.89,4.33
Share-Based Compensation,14,7.9,1.92,1.73,0.19
Other Operating Activities,-20.58,73.27,56.94,41.84,-32.34
Operating Cash Flow,214.28,149.3,65.93,51.45,53.61
Operating Cash Flow Growth,43.52%,126.45%,28.14%,-4.03%,-
Capital Expenditures,-2.1,-1.26,-0.84,-3.04,-3.43
Acquisitions,-193.11,0,0,-8.96,0
Change in Investments,-15.06,-9.92,36.65,-49.89,-3.16
Other Investing Activities,0.04,0.01,-,-,-
Investing Cash Flow,-210.24,-11.17,35.81,-61.89,-6.6
Dividends Paid,-23.87,-2.05,0,0,-88.36
Share Issuance / Repurchase,0,337.8,0,0,0
Debt Issued / Paid,65,-147,-1.5,-1.5,135.8
Other Financing Activities,-111.57,-234.06,-50.67,-54.02,-8.62
Financing Cash Flow,-70.44,-45.31,-52.17,-55.52,38.82
Net Cash Flow,-66.41,93.92,49.32,-65.67,85.91
Free Cash Flow,212.18,148.04,65.09,48.41,50.18
Free Cash Flow Growth,43.32%,127.43%,34.46%,-3.53%,-
Free Cash Flow Margin,15.54%,18.79%,14.57%,18.89%,18.99%
Free Cash Flow Per Share,4.26,4.99,0.69,-,-
