Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,-185.48,59.33,75.73,111.49,-22.05,49.15,65.44,17.77
Depreciation & Amortization,36.32,26.96,17.5,18.63,18.34,18.19,18.91,19.11
Share-Based Compensation,13.96,13.98,12.91,10.32,8.21,0.97,1.15,1.27
Other Operating Activities,419.81,222.91,299.08,510.19,529.97,366.6,243.86,-21.04
Operating Cash Flow,284.61,323.17,405.22,650.63,534.46,434.9,329.36,17.11
Operating Cash Flow Growth,-11.93%,-20.25%,-37.72%,21.74%,22.89%,32.05%,1824.50%,-
Capital Expenditures,-45.82,-23.65,-10.92,-13.98,-14.03,-8.72,-16.03,-19.83
Acquisitions,157.97,-310.87,-27.18,-8.17,-0.96,-5.6,0,0
Change in Investments,-890.1,-588.97,-216.96,-508.11,-577.96,-402.77,-281.65,0
Other Investing Activities,-,-,-,-14.21,-27.89,-15.76,-,-6.42
Investing Cash Flow,-777.95,-923.49,-255.06,-544.47,-620.85,-432.85,-297.67,-26.26
Dividends Paid,-13.72,-15.94,-9.09,0,0,-182,0,0
Share Issuance / Repurchase,-15.52,-50.07,-7.09,-74.19,9.78,81.12,0,-0.37
Debt Issued / Paid,530.3,557.3,23.51,-23.78,9.31,64.19,59.38,-11.95
Financing Cash Flow,501.06,491.29,7.33,-97.97,19.09,-36.69,59.38,-12.32
Net Cash Flow,3.6,-106.03,158.09,10.16,-74.63,-26.86,89.03,-29.53
Free Cash Flow,238.79,299.53,394.3,636.65,520.43,426.19,313.33,-2.72
Free Cash Flow Growth,-20.28%,-24.04%,-38.07%,22.33%,22.11%,36.02%,-,-
Free Cash Flow Margin,38.17%,52.35%,70.59%,94.56%,83.47%,69.69%,54.94%,-0.51%
Free Cash Flow Per Share,5.91,7.28,9.64,14.25,11.36,11.11,8.27,-0.07
