Year,2022,2021,2020,2019,2018
Net Income,21.11,13.37,4.3,7,8.71
Depreciation & Amortization,1.48,1.57,1.4,0.88,0.77
Share-Based Compensation,1.76,1.28,1.27,1.25,1
Other Operating Activities,4.32,-0.01,7.78,3.35,-0.65
Operating Cash Flow,28.66,16.21,14.75,12.48,9.83
Operating Cash Flow Growth,76.83%,9.87%,18.22%,26.95%,-
Capital Expenditures,-0.15,-0.18,-3.51,-2.5,0
Change in Investments,-271.77,-58.79,-449.5,-94.98,-145.48
Other Investing Activities,-0.05,-0.04,-0.83,-3.96,-1.11
Investing Cash Flow,-271.97,-59.01,-453.84,-101.44,-146.59
Share Issuance / Repurchase,0.02,0.24,0.25,0.61,26.63
Debt Issued / Paid,-106.39,-53.43,199.04,10,-11
Other Financing Activities,111.6,147.93,543.97,113.98,113.88
Financing Cash Flow,5.24,94.74,743.26,124.6,129.51
Net Cash Flow,-238.07,51.94,304.18,35.64,-7.25
Free Cash Flow,28.51,16.03,11.25,9.98,9.83
Free Cash Flow Growth,77.88%,42.52%,12.73%,1.49%,-
Free Cash Flow Margin,38.23%,27.21%,25.53%,23.28%,25.79%
Free Cash Flow Per Share,3.43,1.95,1.38,1.24,1.38
