Year,2022,2021,2020,2019,2018,2017
Net Income,36.92,32.95,28.15,24.82,23.06,13.99
Depreciation & Amortization,2.61,2.55,2.41,2.35,2.04,2.04
Share-Based Compensation,0.36,0.32,0.34,0.31,0.29,0.18
Other Operating Activities,5.98,26.44,-18.1,-1.05,0.63,3.89
Operating Cash Flow,45.87,62.26,12.8,26.44,26.02,20.09
Operating Cash Flow Growth,-26.33%,386.51%,-51.60%,1.65%,29.47%,-
Capital Expenditures,-8.44,-2.94,-7.04,-3.77,-5.43,-3.49
Acquisitions,-0.89,-0.17,0,0,0,0
Change in Investments,-430,-277.12,-309.55,-132.21,-44.47,-143.19
Other Investing Activities,0.64,-4.44,0.33,1.16,2.26,0.78
Investing Cash Flow,-438.7,-284.68,-316.26,-134.82,-47.65,-145.9
Dividends Paid,-2.01,-2.03,-1.76,-1.33,-1.01,0
Share Issuance / Repurchase,-0.22,-7.88,-0.11,26.89,-4.54,12.1
Debt Issued / Paid,0,0,0,-11.34,-0.18,-0.23
Other Financing Activities,-111.41,569.99,619.24,75.54,119.6,53.1
Financing Cash Flow,-113.64,560.08,617.37,89.76,113.87,64.96
Net Cash Flow,-506.47,337.66,313.91,-18.61,92.24,-60.84
Free Cash Flow,37.42,59.32,5.76,22.67,20.58,16.61
Free Cash Flow Growth,-36.91%,929.33%,-74.58%,10.14%,23.95%,-
Free Cash Flow Margin,36.11%,62.90%,6.71%,29.14%,28.68%,26.36%
Free Cash Flow Per Share,5.21,8.15,0.79,3.10,2.85,-
