Year,2022,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,95.86,81.32,22.54,55.74,39.28,15.97,31.54,24.32,3.22
Depreciation & Amortization,12.08,13.1,15.99,16.61,13.12,8.34,13.37,12.61,6
Share-Based Compensation,2.21,1.94,2.18,2.36,1.53,1.38,1.05,0.93,0.71
Other Operating Activities,123.44,238.08,458.44,463.9,43.02,44.67,-21.83,35.45,3.97
Operating Cash Flow,236.76,334.44,499.15,538.65,97.09,70.45,24.13,73.32,21.5
Operating Cash Flow Growth,-29.21%,-33.00%,-7.33%,454.78%,37.82%,192.00%,-67.09%,241.04%,-
Capital Expenditures,-3.3,-2.07,-2.59,-5.54,-7.2,-1.9,-2.17,-6.06,-2.92
Acquisitions,60.28,-2.72,0,69.88,36.15,-18.52,-5.19,-20.05,85.02
Change in Investments,"-1,157.39",-475.83,"-1,309.84",-429.13,-37.1,-214.19,-333.09,-183.4,-52.01
Other Investing Activities,1.52,2.12,-,-,1.45,-,-18.62,-20,-
Investing Cash Flow,"-1,098.89",-478.5,"-1,312.43",-364.79,-6.69,-234.61,-359.06,-229.51,30.09
Dividends Paid,-25.92,-25.17,-24.96,-23.6,-19.98,-14.01,-9.85,-7.69,-3.51
Share Issuance / Repurchase,1.08,-9.44,-37.09,1.78,2.28,3.23,72.79,0.47,0.22
Debt Issued / Paid,75.34,-492.23,265.71,-116.75,94.18,212.76,213.52,-1.03,26.47
Other Financing Activities,281.59,"1,009.63",556.76,145.52,-168.38,-13.33,36.72,217.02,-1.58
Financing Cash Flow,332.08,482.79,760.42,6.94,-91.9,188.64,313.18,208.77,21.59
Net Cash Flow,-530.05,338.73,-52.87,180.81,-1.5,24.49,-21.76,52.57,73.18
Free Cash Flow,233.46,332.37,496.56,533.12,89.89,68.55,21.96,67.26,18.58
Free Cash Flow Growth,-29.76%,-33.07%,-6.86%,493.06%,31.13%,212.20%,-67.35%,262.02%,-
Free Cash Flow Margin,76.42%,121.22%,229.86%,214.87%,37.08%,38.20%,12.79%,43.88%,21.87%
Free Cash Flow Per Share,10.45,14.78,21.28,21.95,3.89,3.85,1.55,5.65,3.13
