Year,2022,2021,2020,2019
Net Income,29.21,9.17,23.09,11.94
Depreciation & Amortization,27.35,30.7,15.57,10.58
Share-Based Compensation,18.62,4.92,0.71,0.42
Other Operating Activities,-13.5,4.22,-28.7,-6.13
Operating Cash Flow,61.68,49.02,10.67,16.81
Operating Cash Flow Growth,25.82%,359.45%,-36.54%,-
Capital Expenditures,-1.43,-0.13,-0.03,-0.03
Acquisitions,-95.44,-42.05,-214.16,-0.63
Change in Investments,-1.68,-5.19,0,0
Other Investing Activities,-0.04,-0.03,-,-
Investing Cash Flow,-98.59,-47.4,-214.19,-0.66
Dividends Paid,-10.52,0,0,0
Share Issuance / Repurchase,-22.36,129.37,0,0
Debt Issued / Paid,75.61,-92.78,150.49,-5.64
Other Financing Activities,-19.81,-7.51,46.35,-
Financing Cash Flow,22.93,29.08,196.84,-5.64
Net Cash Flow,-13.99,30.7,-6.68,10.52
Free Cash Flow,60.24,48.89,10.64,16.78
Free Cash Flow Growth,23.22%,359.71%,-36.63%,-
Free Cash Flow Margin,30.37%,32.48%,15.79%,37.38%
Free Cash Flow Per Share,0.52,0.67,0.17,0.27
