Year,2022,2021,2020,2019,2018,2017
Net Income,62.6,61.7,36.39,44.72,41.33,31.9
Depreciation & Amortization,3.88,2.81,2.93,2.72,0.9,0.59
Share-Based Compensation,1.93,1.43,1.82,1.53,1.5,0.72
Other Operating Activities,66.29,-0.5,101.41,-16.76,-204.72,118.6
Operating Cash Flow,134.69,65.43,142.56,32.2,-160.99,151.81
Operating Cash Flow Growth,105.85%,-54.10%,342.74%,-,-,-
Capital Expenditures,-2.35,-0.38,-0.54,-1.1,-2.86,-5.91
Change in Investments,-641.5,-908.65,-463.79,-17.19,111.36,-272.16
Other Investing Activities,-7.96,-21.51,-13.54,-,0.91,0.13
Investing Cash Flow,-651.82,-930.55,-477.86,-18.29,109.41,-277.94
Dividends Paid,-15.29,-11.79,-10.29,-10.37,-9.29,-5.4
Share Issuance / Repurchase,-8.2,-5.54,0,12.43,0,0.69
Debt Issued / Paid,-125.07,389.98,47.35,58.87,-120.78,11
Other Financing Activities,403.82,783.13,172.51,63.15,224.25,149.12
Financing Cash Flow,255.27,"1,155.77",209.58,124.08,94.18,155.4
Net Cash Flow,-261.86,290.65,-125.73,137.99,42.59,29.27
Free Cash Flow,132.34,65.05,142.02,31.1,-163.85,145.9
Free Cash Flow Growth,103.45%,-54.20%,356.64%,-,-,-
Free Cash Flow Margin,93.47%,49.64%,158.04%,30.83%,-173.17%,179.59%
Free Cash Flow Per Share,5.23,2.55,5.53,1.22,-6.47,-
