Year,2022,2021,2020,2019,2018
Net Income,92.96,122.48,62.21,58.54,43.67
Depreciation & Amortization,21.2,8.76,7.69,8.28,7.2
Share-Based Compensation,0.73,0.76,0,0,0
Other Operating Activities,-33.84,-24.44,-17.2,-22.35,-11.35
Operating Cash Flow,81.05,107.56,52.7,44.47,39.52
Operating Cash Flow Growth,-24.65%,104.12%,18.50%,12.52%,-
Capital Expenditures,-6.71,-1.84,-0.66,-0.14,-1.42
Acquisitions,-42.52,-122.77,0,0,0
Change in Investments,-140.11,-159.62,24.17,11.4,9.22
Investing Cash Flow,-189.35,-284.23,23.51,11.25,7.81
Dividends Paid,-103.33,-119.79,-64.48,-46.89,-38.01
Share Issuance / Repurchase,0,302.72,0,0,0
Debt Issued / Paid,-3.46,-1.84,-1.76,-0.99,0
Other Financing Activities,225.34,-3.2,-,-5.9,-10
Financing Cash Flow,118.55,177.89,-66.24,-53.77,-48.01
Net Cash Flow,11.26,1.21,9.93,1.77,-0.98
Free Cash Flow,74.34,105.72,52.04,44.33,38.1
Free Cash Flow Growth,-29.68%,103.17%,17.39%,16.34%,-
Free Cash Flow Margin,28.72%,44.89%,45.24%,35.97%,36.06%
Free Cash Flow Per Share,0.51,0.78,0.39,0.33,-
