Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2003
Net Income,19.49,70.79,81.15,35.9,30.75,25.96,25.53,16.57,12.73,14.71,Upgrade
Depreciation & Amortization,4.03,6.05,5.61,4.7,4.73,2.05,2.62,3.11,3.28,2.72,Upgrade
Share-Based Compensation,0.58,0.75,0.72,1.07,1.76,1.9,1.91,2.82,0.11,0.13,Upgrade
Other Operating Activities,182.56,76.87,-181.05,-81.89,4.26,77.18,-54.12,-35.48,-18.34,34.73,Upgrade
Operating Cash Flow,206.67,154.45,-93.58,-40.22,41.5,107.1,-24.06,-12.99,-2.22,52.28,Upgrade
Operating Cash Flow Growth,33.80%,-,-,-,-61.25%,-,-,-,-,-,Upgrade
Capital Expenditures,-0.7,-0.78,-1.23,-3.11,-3.96,-1.58,-1.09,-2.97,-1.95,-5.36,Upgrade
Acquisitions,0,0,0,0,-0.16,0,0,0,0,0,Upgrade
Change in Investments,-336.04,148.39,27.83,-0.53,-77.74,-94.35,-21.56,-40.58,-82.87,2.07,Upgrade
Other Investing Activities,1,0,10.59,2.49,3.43,1.05,-2.38,27.42,9.57,27.36,Upgrade
Investing Cash Flow,-335.74,147.62,37.19,-1.15,-78.44,-94.88,-25.03,-16.13,-75.25,24.07,Upgrade
Dividends Paid,-30.26,-30.39,-31.52,-25.96,-27.05,-26.95,-6.92,-5.87,-5,0,Upgrade
Share Issuance / Repurchase,-47.27,-7.87,-32.54,-22.11,-17.89,-1.14,-0.3,-72.64,-141.83,0,Upgrade
Debt Issued / Paid,-89.1,-30.38,23.82,48.36,48.26,-0.71,-52.99,5.87,-18.69,-23.88,Upgrade
Other Financing Activities,-34.37,48.52,117.09,29.28,71.12,17.97,56.05,29.4,-13.36,305.23,Upgrade
Financing Cash Flow,-201,-20.12,76.86,29.57,74.43,-10.83,-4.16,-43.23,-178.89,281.35,Upgrade
Net Cash Flow,-330.08,281.96,20.47,-11.8,37.49,1.39,-53.25,-72.35,-256.35,357.7,Upgrade
Free Cash Flow,205.96,153.68,-94.81,-43.33,37.54,105.52,-25.15,-15.96,-4.17,46.92,Upgrade
Free Cash Flow Growth,34.02%,-,-,-,-64.42%,-,-,-,-,-,Upgrade
Free Cash Flow Margin,127.50%,58.50%,-32.56%,-23.57%,21.65%,59.85%,-14.84%,-11.29%,-3.34%,38.31%,Upgrade
Free Cash Flow Per Share,9.41,6.47,-3.88,-1.67,1.37,3.84,-0.93,-0.55,-0.13,1.37,Upgrade
