Year,2022,2021,2020,2019
Net Income,-239.05,22.13,-16.29,2.9
Depreciation & Amortization,72.42,24.48,11.49,6.84
Share-Based Compensation,21.79,22.59,2.2,2.87
Other Operating Activities,181.09,-112.51,9.83,-6.6
Operating Cash Flow,36.25,-43.32,7.22,6.02
Operating Cash Flow Growth,-,-,19.98%,-
Capital Expenditures,-184.48,-192.15,-3.61,-22.36
Acquisitions,0,-23,0,0
Change in Investments,29.47,6.15,0,0
Investing Cash Flow,-155.01,-209,-3.61,-22.36
Share Issuance / Repurchase,54.09,259.17,0.05,0
Debt Issued / Paid,-30.1,49.5,-1.87,12.94
Other Financing Activities,0.02,63.32,2,5.04
Financing Cash Flow,24.01,371.99,0.19,17.97
Net Cash Flow,-94.75,119.67,3.79,1.61
Free Cash Flow,-148.23,-235.47,3.62,-16.34
Free Cash Flow Margin,-104.07%,-138.93%,10.43%,-50.41%
Free Cash Flow Per Share,-0.71,-1.49,0.04,-0.24
