Year,2022,2021,2020
Net Income,0.44,1.39,1.72
Depreciation & Amortization,0.84,0.71,0.64
Share-Based Compensation,0.05,0,0
Other Operating Activities,0.56,-0.09,-0.1
Operating Cash Flow,1.88,2.02,2.27
Operating Cash Flow Growth,-6.50%,-11.04%,-
Capital Expenditures,-0.13,-0.21,-0.66
Change in Investments,-35.52,-2.81,-2.38
Other Investing Activities,-0.64,-,-
Investing Cash Flow,-36.29,-3.03,-3.03
Share Issuance / Repurchase,26.48,0,0
Debt Issued / Paid,-0.92,-2.8,-4
Other Financing Activities,-0.17,7.13,26.34
Financing Cash Flow,25.39,4.33,22.34
Net Cash Flow,-9.01,3.31,21.57
Free Cash Flow,1.75,1.8,1.61
Free Cash Flow Growth,-2.66%,12.06%,-
Free Cash Flow Margin,19.77%,22.56%,19.48%
Free Cash Flow Per Share,0.30,0.27,-
