Year,2021,2020,2019,2018,2017,2016,2015,2014
Net Income,30.38,-13.09,2.74,-5.14,7.14,5.93,4.4,3.41
Depreciation & Amortization,2.18,1.69,0.24,0,0.94,0.52,0.44,0.37
Share-Based Compensation,0.57,1.1,0,0,0,0,0,0
Other Operating Activities,-9.27,12.99,-2.65,4.42,-14.17,-4.87,-0.91,-1.02
Operating Cash Flow,23.86,2.69,0.34,-0.73,-6.1,1.58,3.93,2.76
Operating Cash Flow Growth,787.95%,701.46%,-,-,-,-59.89%,42.37%,-
Capital Expenditures,-0.2,-0.26,-0.24,0,-3.13,-0.98,-3.14,-5.4
Acquisitions,7.94,4.99,2.04,0,0,0,0,0
Change in Investments,-32.99,-9.45,-3.61,0,0,0,0,0.32
Other Investing Activities,-,-0.01,-0.16,-0.12,-,-,-,-
Investing Cash Flow,-25.25,-4.72,-1.96,-0.12,-3.13,-0.98,-3.14,-5.08
Share Issuance / Repurchase,70.79,6.5,0,0,0,10.13,0,0
Debt Issued / Paid,-1.02,5.03,0.57,0,0.92,0.13,0.01,0.01
Other Financing Activities,0.75,6.83,2.59,0.62,-,-,-,2.51
Financing Cash Flow,70.53,18.36,3.15,0.62,0.92,10.27,0.01,2.51
Net Cash Flow,69.43,19.13,1.34,-0.2,-8.6,10.76,0.74,0.19
Free Cash Flow,23.65,2.43,0.1,-0.73,-9.22,0.6,0.8,-2.64
Free Cash Flow Growth,873.68%,2386.71%,-,-,-,-25.03%,-,-
Free Cash Flow Margin,14.76%,5.76%,3.87%,-,-31.59%,2.20%,3.46%,-15.79%
Free Cash Flow Per Share,1.10,0.13,0.01,-0.05,-0.63,0.05,0.07,-0.22
