Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,868,962,822,435,539,159.32,220.85,79.68,216.32,21.07,Upgrade
Depreciation & Amortization,110,117,92,69,73,43.43,37.59,41.03,39.89,40.43,Upgrade
Share-Based Compensation,75,43,32,22,23,20.63,17.54,13.8,18.57,17.71,Upgrade
Other Operating Activities,"1,226",-418,-797,298,-407,-258.37,-102.18,226.69,423.73,346.33,Upgrade
Operating Cash Flow,"2,311",741,172,830,234,-28.8,179.99,367.39,704.71,431.37,Upgrade
Operating Cash Flow Growth,211.88%,330.81%,-79.28%,254.70%,-,-,-51.01%,-47.87%,63.36%,16.10%,Upgrade
Capital Expenditures,-10,-11,-46,-29,-18,-49.63,-51.16,1.2,-27.9,-26.58,Upgrade
Acquisitions,0,0,"2,071",0,-46,-336.63,0,-5.09,413.35,54.93,Upgrade
Change in Investments,"8,226","-4,647","-7,018","-2,393",287,-963.25,"-2,444.53",-537.77,"-1,923.88",598.46,Upgrade
Other Investing Activities,97,41,26,32,257,24.91,29.88,23.25,53.05,136.15,Upgrade
Investing Cash Flow,"8,313","-4,617","-4,967","-2,390",480,"-1,324.6","-2,465.81",-518.4,"-1,485.37",762.95,Upgrade
Dividends Paid,-324,-333,-222,-171,-139,-79.9,-63.5,-53.95,-47.37,-38.23,Upgrade
Share Issuance / Repurchase,24,-388,-4,-125,-100,0.58,-74.92,-25.43,-41.72,-90.88,Upgrade
Debt Issued / Paid,0,0,0,0,"-2,597","2,061.77",-257.15,"-1,347.48",465.05,"-1,163.69",Upgrade
Other Financing Activities,494,45,144,-11,"2,075",-214.79,"2,688.12","1,537.52",648.2,-179.88,Upgrade
Financing Cash Flow,194,-676,-82,-307,-761,"1,767.65","2,292.55",110.67,"1,024.16","-1,472.68",Upgrade
Net Cash Flow,0,0,0,0,-47,414.25,6.73,-40.34,243.5,-278.35,Upgrade
Free Cash Flow,"2,301",730,126,801,216,-78.43,128.83,368.59,676.81,404.79,Upgrade
Free Cash Flow Growth,215.21%,479.37%,-84.27%,270.83%,-,-,-65.05%,-45.54%,67.20%,13.37%,Upgrade
Free Cash Flow Margin,73.94%,21.60%,4.75%,44.04%,11.16%,-5.89%,10.14%,31.72%,58.81%,34.69%,Upgrade
Free Cash Flow Per Share,4.30,1.34,0.29,2.55,0.67,-0.33,0.55,1.57,2.88,1.70,Upgrade
