Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1996
Net Income,420.25,7.76,-342.76,48.15,50.63,27.04,-65.16,-40.07,-35.55,24.4,Upgrade
Depreciation & Amortization,37.73,37.31,36.57,44.21,38.59,38.14,38.69,22.59,22.16,21.97,Upgrade
Share-Based Compensation,21.15,18.12,8.06,16.3,13.25,11.65,14.13,8.69,2.3,4.19,Upgrade
Other Operating Activities,-372.51,-42.63,333.46,-15.85,3.07,-3.99,98.31,55.22,72.62,34.19,Upgrade
Operating Cash Flow,106.62,20.56,35.33,92.8,105.55,72.85,85.97,46.43,61.53,84.75,Upgrade
Operating Cash Flow Growth,418.69%,-41.82%,-61.93%,-12.07%,44.89%,-15.27%,85.14%,-24.54%,-27.40%,73.56%,Upgrade
Capital Expenditures,-14.89,-21,-20.37,-10.5,-7.63,-5.04,-3.81,-1.51,-2.04,-2.35,Upgrade
Acquisitions,-7.89,-8.32,-105.05,-159.09,0,0,-1.79,-569.71,0,-4.89,Upgrade
Change in Investments,0,0,0,0,0,7.09,4.04,238.7,-51.97,-116.46,Upgrade
Other Investing Activities,688.62,-9.28,-15.29,-,-,-,-,-0.54,-47.93,-179.99,Upgrade
Investing Cash Flow,665.84,-38.59,-140.71,-169.59,-7.63,2.05,-1.56,-333.06,-101.94,-303.69,Upgrade
Share Issuance / Repurchase,-30.08,3.86,2.36,-21.8,14.87,41.7,3.62,-4.13,-30.54,3.51,Upgrade
Debt Issued / Paid,-561.34,-2.31,159.75,131.18,-80,-100.19,-163.87,326.33,-19.44,190.82,Upgrade
Other Financing Activities,-17.74,-15.72,-1.16,-31.54,-9.68,-10.07,-1.75,-18.55,3.52,1.88,Upgrade
Financing Cash Flow,-609.16,-14.18,160.94,77.84,-74.8,-68.56,-162,303.65,-46.47,196.2,Upgrade
Net Cash Flow,163.3,-32.21,55.56,1.08,23.06,7.44,-4.96,17.01,-77.98,51.67,Upgrade
Free Cash Flow,91.73,-0.44,14.97,82.3,97.92,67.81,82.16,44.92,59.5,82.4,Upgrade
Free Cash Flow Growth,-,-,-81.82%,-15.94%,44.40%,-17.47%,82.89%,-24.50%,-27.79%,82.79%,Upgrade
Free Cash Flow Margin,13.76%,-0.07%,2.74%,11.46%,17.47%,13.31%,18.02%,38.16%,57.36%,90.34%,Upgrade
Free Cash Flow Per Share,1.91,-0.01,0.31,1.71,2.07,1.53,1.98,1.10,1.44,2.00,Upgrade
