Year,2022,2021,2020,2008,2007,2006,2005,2004,2003,2002,2001
Net Income,-23.52,-0.57,-0.26,-3.29,-2.79,-2.26,-1.41,-0.42,-0.94,-0.81,Upgrade
Depreciation & Amortization,1.12,0,0,0,0,0.11,0.13,0.09,0.06,0.04,Upgrade
Share-Based Compensation,12.34,0,0,0,0,0,0,0.06,0.07,0.02,Upgrade
Other Operating Activities,9.19,0.48,0.26,0.95,0.06,0.48,-0.12,-0.15,-0.04,0.21,Upgrade
Operating Cash Flow,-0.87,-0.08,0,-2.34,-2.73,-1.66,-1.4,-0.42,-0.86,-0.53,Upgrade
Capital Expenditures,-54.97,-3.3,0,0.02,-0.01,-0.06,-0.06,-0.22,-0,-0.01,Upgrade
Change in Investments,0,0,0,0.83,5.1,1.45,0.02,-7.47,0,0,Upgrade
Other Investing Activities,9.1,-,-,-0.07,-0.07,-0.07,-0.04,-0.03,-0.03,-0.04,Upgrade
Investing Cash Flow,-45.87,-3.3,0,0.78,5.02,1.32,-0.08,-7.73,-0.04,-0.05,Upgrade
Share Issuance / Repurchase,35.72,0,0,0,0,0,-0.2,9.29,1.53,0,Upgrade
Debt Issued / Paid,7.01,0,0,0,0,0,0,0,-0.07,0.01,Upgrade
Other Financing Activities,38.56,15.14,-,-,-,-,-,-,0.2,-,Upgrade
Financing Cash Flow,81.29,15.14,0,0,0,0,-0.2,9.29,1.66,0.01,Upgrade
Net Cash Flow,34.55,11.75,0,-1.56,2.29,-0.35,-1.69,1.14,0.76,-0.56,Upgrade
Free Cash Flow,-55.85,-3.39,0,-2.32,-2.74,-1.73,-1.46,-0.65,-0.86,-0.54,Upgrade
Free Cash Flow Margin,-653.25%,-,-,-688.32%,-177.22%,-44.65%,-44.19%,-18.08%,-78.74%,-109.41%,Upgrade
Free Cash Flow Per Share,-0.98,-2.24,-,-1.67,-2.00,-1.26,-1.07,-0.63,-1.31,-3.65,Upgrade
