Year,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011 - 1994
Net Income,66.41,46.36,47.38,46.7,35.7,29.48,28.53,28.59,34.39,26.73,Upgrade
Depreciation & Amortization,23.92,23.44,22.52,22.98,21.78,20.95,19.95,18,16.41,15.74,Upgrade
Share-Based Compensation,5.2,4.98,4.49,4.35,3.16,2.43,2.19,2.21,2.14,1,Upgrade
Other Operating Activities,-28.3,19.61,6.45,4.6,1.52,-0.81,0.64,-4.48,1.86,11.35,Upgrade
Operating Cash Flow,67.22,94.38,80.83,78.64,62.15,52.05,51.31,44.32,54.8,54.82,Upgrade
Operating Cash Flow Growth,-28.77%,16.77%,2.78%,26.53%,19.40%,1.44%,15.78%,-19.13%,-0.03%,53.68%,Upgrade
Capital Expenditures,-29.82,-17.24,-32.36,-15.27,-27.69,-31.04,-16.76,-22.87,-18.34,-14.89,Upgrade
Change in Investments,0,0,0,0,0,0.03,-0.6,-1.4,0,0,Upgrade
Investing Cash Flow,-29.82,-17.24,-32.36,-15.27,-27.69,-31.01,-17.36,-24.27,-18.34,-14.89,Upgrade
Share Issuance / Repurchase,-79.62,-20.64,-56.96,-27.42,-7.3,-25.21,-27.41,-29.8,-23.45,-27.02,Upgrade
Other Financing Activities,-,-,-,-,-,-,0.71,0.4,2.04,0.31,Upgrade
Financing Cash Flow,-79.62,-20.64,-56.96,-27.42,-7.3,-25.21,-26.69,-29.4,-21.41,-26.71,Upgrade
Net Cash Flow,-42.21,56.49,-8.49,35.94,27.16,-4.17,7.26,-9.35,15.04,13.23,Upgrade
Free Cash Flow,37.4,77.14,48.47,63.37,34.46,21.01,34.56,21.45,36.46,39.93,Upgrade
Free Cash Flow Growth,-51.51%,59.15%,-23.51%,83.86%,64.02%,-39.20%,61.11%,-41.17%,-8.70%,220.53%,Upgrade
Free Cash Flow Margin,5.79%,13.96%,8.18%,10.64%,6.17%,4.05%,6.86%,4.35%,7.61%,9.30%,Upgrade
Free Cash Flow Per Share,2.11,4.30,2.65,3.37,1.83,1.08,1.74,1.04,1.73,1.79,Upgrade
