Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-154.36,-74.73,9.33,28.64,27.16,-1.12,33.87,92.51,47.1,34.21,Upgrade
Depreciation & Amortization,8.36,8.45,8.1,10.44,27.07,7.74,8.98,1.35,0.78,0.15,Upgrade
Share-Based Compensation,2.01,1.16,4.68,5.38,5.27,4.82,4.82,2.65,3.3,5.73,Upgrade
Other Operating Activities,109.74,125.25,148.1,75.21,36.84,-3.95,35.3,50.37,143.02,64.96,Upgrade
Operating Cash Flow,-34.26,60.13,170.21,119.66,96.34,7.49,82.96,146.88,194.2,105.05,Upgrade
Operating Cash Flow Growth,-,-64.67%,42.25%,24.21%,1186.39%,-90.97%,-43.52%,-24.36%,84.86%,0%,Upgrade
Capital Expenditures,-12.38,-1.01,-0.76,-4.98,-2.28,-0.39,-1.62,-1.17,-6.93,-10.88,Upgrade
Acquisitions,0,0,0,0,0,-140.92,-110.32,-6,0,0,Upgrade
Change in Investments,-25.48,-123.47,22.82,-48.6,25.74,134.06,-137.48,-79.79,-193.12,-125.61,Upgrade
Investing Cash Flow,-37.86,-124.48,22.06,-53.59,23.46,-7.24,-249.42,-86.96,-200.05,-136.49,Upgrade
Dividends Paid,-4.77,-6.71,-6.85,-6.96,-6.38,-8.25,-6.81,0,0,0,Upgrade
Share Issuance / Repurchase,-7.34,-8.19,-10,-16.18,-2,-61.21,-25.56,8.9,101.27,33.63,Upgrade
Debt Issued / Paid,7.15,-2.15,-9.67,-18.77,-18.3,124.22,77.91,0,0,-1,Upgrade
Other Financing Activities,-0.09,-0.23,-2.38,-3.52,-5.27,-7.21,-1.72,0.74,-,-,Upgrade
Financing Cash Flow,-5.06,-17.28,-28.9,-45.43,-31.95,47.56,43.83,9.64,101.27,32.63,Upgrade
Net Cash Flow,-77.18,-81.63,163.38,20.64,87.84,47.8,-122.64,75.8,95.42,1.19,Upgrade
Free Cash Flow,-46.64,59.12,169.46,114.67,94.06,7.1,81.33,145.71,187.27,94.17,Upgrade
Free Cash Flow Growth,-,-65.11%,47.77%,21.92%,1224.00%,-91.27%,-44.18%,-22.19%,98.87%,0%,Upgrade
Free Cash Flow Margin,-7.04%,9.36%,28.56%,22.43%,19.59%,1.75%,18.53%,36.91%,80.09%,75.43%,Upgrade
Free Cash Flow Per Share,-1.77,2.13,6.06,3.92,3.63,0.27,2.75,4.85,7.62,6.58,Upgrade
