Year,2022,2021,2020,2019,2018,2017
Net Income,10.28,1.08,5.2,7.31,11.5,5.63
Depreciation & Amortization,2.74,2.86,2.91,2.81,2.64,1.96
Share-Based Compensation,0.58,0.53,1,0,0,0
Other Operating Activities,36.36,28.19,-7.07,-3.99,8.87,4.27
Operating Cash Flow,49.97,32.65,2.03,6.13,23.01,11.87
Operating Cash Flow Growth,53.02%,1512.49%,-66.96%,-73.36%,93.89%,-
Capital Expenditures,0.41,-0.43,-1.57,-1.67,-7.95,-9.37
Acquisitions,-1.66,0,0,0,-4.7,-5.81
Change in Investments,-146.79,-124.68,-109.05,-76.35,-66.06,-124.86
Other Investing Activities,-,-,1.14,-,-,-
Investing Cash Flow,-148.03,-125.11,-109.47,-78.02,-78.7,-140.04
Share Issuance / Repurchase,0,0,95.41,0,0,0
Debt Issued / Paid,0,0,0,0,-5,-12
Other Financing Activities,149.16,260.51,-61.17,181.72,140.71,145.91
Financing Cash Flow,149.16,260.51,34.24,181.72,135.71,133.91
Net Cash Flow,51.1,168.06,-73.21,109.83,80.02,5.74
Free Cash Flow,50.38,32.22,0.46,4.46,15.06,2.5
Free Cash Flow Growth,56.34%,6904.78%,-89.69%,-70.37%,502.64%,-
Free Cash Flow Margin,88.38%,60.21%,0.80%,9.71%,27.82%,5.72%
Free Cash Flow Per Share,2.00,1.28,0.02,0.17,-,-
