Year,2022,2021,2020,2019,2018,2017
Net Income,12.97,11.14,10.02,-14.08,5.68,2.72
Depreciation & Amortization,1.29,1.54,1.47,1.09,1.11,1.22
Share-Based Compensation,1.54,1.81,0.81,0,0,0
Other Operating Activities,2.37,-24.14,4.28,23.09,1.67,2.28
Operating Cash Flow,18.16,-9.65,16.57,10.1,8.46,6.22
Operating Cash Flow Growth,-,-,64.15%,19.35%,36.12%,-
Capital Expenditures,-0.39,-0.58,-1.85,-0.96,-1.33,-0.53
Change in Investments,-115.82,-211.64,-87.41,-105.98,-100.32,-66.5
Other Investing Activities,0.08,0.03,-,0.17,0.11,3.46
Investing Cash Flow,-116.12,-212.19,-89.26,-106.77,-101.54,-63.58
Dividends Paid,-4.41,-9.28,-1.84,0,-0.5,0
Share Issuance / Repurchase,-9.86,-11.79,-9.08,113.02,0,0
Debt Issued / Paid,0.03,10.04,15.95,12.69,32.14,11.72
Other Financing Activities,105.09,207.13,75.83,-3.42,60.23,44.09
Financing Cash Flow,90.85,196.11,80.85,122.3,91.88,55.81
Net Cash Flow,-7.12,-25.73,8.17,25.63,-1.2,-1.55
Free Cash Flow,17.78,-10.23,14.73,9.14,7.13,5.68
Free Cash Flow Growth,-,-,61.16%,28.12%,25.55%,-
Free Cash Flow Margin,38.72%,-24.21%,40.34%,28.86%,23.72%,21.04%
Free Cash Flow Per Share,1.51,-0.82,1.11,0.68,0.55,-
