Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1992
Net Income,-906,502,"1,723",902,-162.35,311.46,264.81,220.29,213.75,208.6,Upgrade
Depreciation & Amortization,49,74,59,35,32.24,36.12,34.94,40.92,43.87,52.56,Upgrade
Other Operating Activities,"1,078","3,189",968,451,-23.63,-690.68,-502.43,-526.37,286.39,-323.55,Upgrade
Operating Cash Flow,257,"3,801","2,786","1,424",-141.61,-343.11,-202.69,-265.15,544.01,-62.39,Upgrade
Operating Cash Flow Growth,-93.24%,36.43%,95.65%,-,-,-,-,-,-,-,Upgrade
Acquisitions,0,154,-14,172,-245.15,122.43,-18.45,130.67,60.32,-409.56,Upgrade
Change in Investments,-925,"-2,728","-2,301","-1,703",-573.61,194.45,183,-109.26,-248.37,41.64,Upgrade
Other Investing Activities,6,1,-20,-72,-8.32,-23.62,-7.84,-1.52,0.63,2.13,Upgrade
Investing Cash Flow,-919,"-2,573","-2,335","-1,603",-827.09,293.26,156.71,19.89,-187.42,-365.79,Upgrade
Share Issuance / Repurchase,-163,-942,-26,0,0,0,0,0,0,0,Upgrade
Debt Issued / Paid,138,242,180,328,218.19,-38.04,77.8,280.2,-129.25,330.3,Upgrade
Other Financing Activities,-91,-37,-36,-35,534.8,-27.44,5.64,-150.85,260.83,92.78,Upgrade
Financing Cash Flow,-116,-737,118,293,752.99,-65.48,83.44,129.35,131.59,423.08,Upgrade
Net Cash Flow,-762,495,541,73,-230.25,-105.81,23.48,-134.45,470.62,-11.05,Upgrade
Free Cash Flow,257,"3,801","2,786","1,424",-141.61,-343.11,-202.69,-265.15,544.01,-62.39,Upgrade
Free Cash Flow Growth,-93.24%,36.43%,95.65%,-,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,-,481.75%,104.74%,65.02%,-22.87%,-31.16%,-17.84%,-29.32%,76.61%,-14.98%,Upgrade
Free Cash Flow Per Share,14.94,191.76,129.27,66.29,-6.84,-17.70,-10.50,-13.77,29.55,-3.78,Upgrade
