Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,99.11,109.77,62.32,58.54,51.13,35.45,19.81,28.35,16.95,11.84,Upgrade
Depreciation & Amortization,25.22,22.91,19.05,17.27,12.7,9.2,6.6,6.12,4.87,1.41,Upgrade
Share-Based Compensation,21.18,20.32,4.62,3.65,2.74,1.8,2.37,3.08,2.69,0.13,Upgrade
Other Operating Activities,-74.22,-19.24,9.64,-7.01,6.69,0.05,1.32,-13.04,-5.61,-3.23,Upgrade
Operating Cash Flow,74.49,136.96,97.33,72.45,73.83,47.27,30.98,25.3,19.68,10.87,Upgrade
Operating Cash Flow Growth,-45.61%,40.72%,34.34%,-1.87%,56.18%,52.58%,22.48%,28.54%,81.12%,152.58%,Upgrade
Capital Expenditures,-10.91,-14.36,-17.57,-21.34,-18.78,-7.95,-4.33,-2.44,-2.75,-1.4,Upgrade
Acquisitions,85.92,-96.93,-14.54,0,-68.02,55.58,-14.48,-127.59,7.93,74.71,Upgrade
Change in Investments,596.93,185.42,-744.73,-501.8,-194.61,-432.58,-258.07,-262.99,-132.6,-82.81,Upgrade
Other Investing Activities,0.44,3.53,2.11,2.76,13.11,5.18,3.32,3.88,5.32,3.94,Upgrade
Investing Cash Flow,672.38,77.66,-774.74,-520.37,-268.31,-379.77,-273.56,-389.13,-122.09,-5.56,Upgrade
Share Issuance / Repurchase,-75.17,-0.79,-35.77,-64.52,191.66,65.14,-0.65,-0.34,83.65,42.4,Upgrade
Debt Issued / Paid,-178.91,-72.49,-132.07,135.83,-42.74,136,149.85,225.35,-32.62,-2.39,Upgrade
Other Financing Activities,-467.79,-72.55,961.77,339.56,146.37,150.97,102.62,83.22,126.48,24.69,Upgrade
Financing Cash Flow,-721.87,-145.83,793.92,410.86,295.29,352.11,251.81,308.23,177.5,64.71,Upgrade
Net Cash Flow,25,68.79,116.51,-37.06,100.81,19.62,9.24,-55.61,75.09,70.01,Upgrade
Free Cash Flow,63.58,122.6,79.75,51.11,55.05,39.32,26.66,22.86,16.94,9.46,Upgrade
Free Cash Flow Growth,-48.14%,53.72%,56.04%,-7.16%,40.02%,47.50%,16.62%,34.98%,78.98%,510.85%,Upgrade
Free Cash Flow Margin,13.31%,28.35%,26.00%,18.28%,23.54%,21.29%,21.05%,19.14%,17.04%,19.60%,Upgrade
Free Cash Flow Per Share,2.60,4.88,3.21,2.02,2.10,1.89,1.47,1.27,0.94,0.57,Upgrade
