Year,2022,2021,2020,2019,2018,2017
Net Income,103.26,25.67,-7.81,-0.42,37.43,98.98
Depreciation & Amortization,31.15,37.93,35.13,30.36,26.1,22.98
Share-Based Compensation,13.88,53.64,53.84,36.2,6.57,6.92
Other Operating Activities,-7.99,11.74,-4.2,-11.06,-8.44,-83.27
Operating Cash Flow,140.3,128.98,76.95,55.08,61.66,45.61
Operating Cash Flow Growth,8.78%,67.62%,39.69%,-10.67%,35.19%,-
Capital Expenditures,-39.06,-34.65,-29.07,-22.5,-17.41,-15.65
Acquisitions,-43.86,-124.16,-18.56,-35.91,0,0
Change in Investments,-12.07,-2.17,-2.34,-1.51,-0.3,0
Investing Cash Flow,-94.99,-160.98,-49.97,-59.91,-17.71,-15.65
Dividends Paid,0,0,0,0,-75,0
Share Issuance / Repurchase,0,0.1,0.19,124.07,0,0
Debt Issued / Paid,1.26,40,-50.73,-126.25,245.11,0
Other Financing Activities,-,-,-0.16,-,-158.85,-
Financing Cash Flow,1.26,40.1,-50.7,-2.18,11.26,0
Net Cash Flow,46.57,8.09,-23.72,-7.01,55.21,29.96
Free Cash Flow,101.24,94.33,47.88,32.59,44.25,29.96
Free Cash Flow Growth,7.34%,96.99%,46.94%,-26.35%,47.69%,-
Free Cash Flow Margin,16.37%,17.79%,11.08%,7.80%,12.17%,10.14%
Free Cash Flow Per Share,1.37,1.31,0.71,0.49,0.67,0.45
