Year,2022,2021,2020,2019,2018,2017
Net Income,-60.67,-46.37,-32.9,53.53,64.6,37.81
Depreciation & Amortization,20.07,13.64,9.12,1.74,1.87,1.67
Other Operating Activities,31.05,29.91,-64.96,42.77,-21.55,-62.55
Operating Cash Flow,-9.55,-2.83,-88.75,98.04,44.92,-23.07
Operating Cash Flow Growth,-,-,-,118.27%,-,-
Capital Expenditures,-4.74,-8.43,-2.75,-4.25,-0.47,-0.68
Acquisitions,0,4.18,-0.84,-3.34,-36.48,-18.71
Change in Investments,-5,52.86,-48.62,70.72,47.92,40.46
Other Investing Activities,-0.86,-0.61,-0.88,-0.59,-0.92,-
Investing Cash Flow,-10.6,47.99,-53.08,62.54,10.05,21.07
Share Issuance / Repurchase,0,0,0,163.36,0,30
Debt Issued / Paid,0,0,0,-1.05,0,-56.19
Other Financing Activities,-,-,-,-7.05,-,-
Financing Cash Flow,0,0,0,155.26,0,-26.19
Net Cash Flow,-20.14,45.17,-141.83,315.84,54.96,-28.19
Free Cash Flow,-14.29,-11.26,-91.5,93.79,44.44,-23.75
Free Cash Flow Growth,-,-,-,111.03%,-,-
Free Cash Flow Margin,-7.57%,-5.89%,-70.66%,46.15%,26.80%,-15.26%
Free Cash Flow Per Share,-0.24,-0.19,-1.52,1.66,0.83,-0.45
