Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,176.21,167,59.54,18.03,51.45,100.5,13.77,20.63,10.05,28.06,Upgrade
Depreciation & Amortization,20.78,21.37,21.69,19.97,16.39,10.28,4.26,3.44,2.16,1.46,Upgrade
Share-Based Compensation,20.88,26.29,36.78,11.62,9.28,8.51,12.07,1.43,3.41,0.19,Upgrade
Other Operating Activities,-93.38,-334.37,-379.01,-532.14,-70.82,-406.81,-252.06,-360.17,-277.12,-73.88,Upgrade
Operating Cash Flow,124.49,-119.72,-261,-482.52,6.29,-287.53,-221.95,-334.68,-261.51,-44.18,Upgrade
Capital Expenditures,-43.75,5.99,-11.92,-26.3,-110.46,-124.14,-10.89,-30.45,-12.15,-7.7,Upgrade
Acquisitions,0,0,-0.9,0,-0.21,-7.7,0,9.9,-6.61,-8.89,Upgrade
Change in Investments,"-1,400.43",-162.58,"-2,611.93",-659.06,-735.22,-404.68,-310.4,79.62,37.23,-4.58,Upgrade
Other Investing Activities,1.84,6.79,5.28,0.8,0.53,1.5,1.22,0.51,-,0.62,Upgrade
Investing Cash Flow,"-1,442.34",-149.8,"-2,619.46",-684.57,-845.36,-535.02,-320.07,59.58,18.47,-20.54,Upgrade
Dividends Paid,-5.27,-5.19,-4.91,-4.83,-4.81,-3.78,-2.74,-2.73,-43.85,-11.92,Upgrade
Share Issuance / Repurchase,0,-0.95,0,0,0,113.1,0,87.17,75.24,-0.21,Upgrade
Debt Issued / Paid,-235.09,"-1,223.8","1,542.08",-1.44,-25.11,-1.28,-0.53,-19.57,38.68,-0.13,Upgrade
Other Financing Activities,"1,771.1","1,384.89","1,440.21","1,075.45",893.02,771.77,680.69,282.95,165.64,70.05,Upgrade
Financing Cash Flow,"1,530.75",154.95,"2,977.38","1,069.18",863.1,879.81,677.42,347.81,235.7,57.79,Upgrade
Net Cash Flow,212.89,-114.57,96.92,-97.91,24.04,57.26,135.4,72.71,-7.34,-6.93,Upgrade
Free Cash Flow,80.73,-113.73,-272.92,-508.82,-104.16,-411.67,-232.84,-365.14,-273.65,-51.87,Upgrade
Free Cash Flow Margin,15.39%,-25.74%,-113.69%,-270.09%,-52.41%,-170.52%,-188.30%,-344.11%,-380.28%,-76.15%,Upgrade
Free Cash Flow Per Share,1.84,-2.62,-6.71,-12.63,-2.60,-10.32,-6.80,-10.69,-8.38,-,Upgrade
