Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-0.7,-10.21,-23.86,-1.09,-0.3,0.29,0.01,-1.67,3.15,-0.75,Upgrade
Depreciation & Amortization,0,0,0,0,0,0.07,0.07,0.05,0.03,0.01,Upgrade
Share-Based Compensation,0.26,0.56,0.31,0.41,0.34,0.03,0.04,0.05,0.13,0,Upgrade
Other Operating Activities,-12.37,-6.45,10.86,-21.36,23.65,7.13,3.26,6.99,9.11,7.49,Upgrade
Operating Cash Flow,-11.02,-14.41,-11.28,-20.64,24.79,7.53,3.37,5.42,12.91,6.76,Upgrade
Operating Cash Flow Growth,-,-,-,-,229.40%,123.22%,-37.75%,-58.02%,91.02%,-,Upgrade
Capital Expenditures,-0.08,-0.01,-0.01,-0,0,-0.03,-0.08,-0.05,-0.22,-0.05,Upgrade
Acquisitions,0,0,0,16.99,-10.34,0,0,-0.55,0,0,Upgrade
Change in Investments,-3.37,5.91,-1.14,0,0,-26.95,-6.77,-8.77,-12.31,1.57,Upgrade
Other Investing Activities,-,-,-,-36.67,-18.91,-,-,-,-,-,Upgrade
Investing Cash Flow,-3.45,5.9,-1.16,-19.68,-29.25,-26.98,-6.85,-9.37,-12.53,1.53,Upgrade
Dividends Paid,-1.79,-1.69,-1.4,-1.4,-1.35,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,3.73,5.25,-2.54,0,0,0.22,-1.2,-1.73,36.26,0,Upgrade
Other Financing Activities,-,8.36,-,-0.04,13.13,-0.24,-0.24,-,2,1.2,Upgrade
Financing Cash Flow,1.94,11.92,-3.94,-1.44,11.78,-0.02,-1.44,-1.73,38.26,1.2,Upgrade
Net Cash Flow,-12.53,3.41,-16.38,-2.39,7.33,-19.47,-4.91,-5.68,38.63,9.48,Upgrade
Free Cash Flow,-11.1,-14.42,-11.3,-20.64,24.79,7.5,3.29,5.37,12.68,6.71,Upgrade
Free Cash Flow Growth,-,-,-,-,230.63%,128.00%,-38.74%,-57.66%,89.03%,-,Upgrade
Free Cash Flow Margin,-55.25%,-189.86%,-,-368.79%,2052.48%,19.66%,10.20%,19.79%,66.87%,131.78%,Upgrade
Free Cash Flow Per Share,-1.38,-2.77,-1.97,-3.43,4.14,1.26,0.54,0.85,2.85,6.71,Upgrade
