Year,2022,2021,2020,2019
Net Income,4.24,3.78,1.33,3.76
Depreciation & Amortization,1.2,1.24,0.82,0.67
Share-Based Compensation,0.68,0.11,0,0
Other Operating Activities,-1.26,-5.39,-2,-1.67
Operating Cash Flow,4.86,-0.26,0.15,2.76
Operating Cash Flow Growth,-,-,-94.56%,-
Capital Expenditures,-0.84,2.84,-1.81,-0.25
Acquisitions,0,0,48.85,6.69
Change in Investments,-197,16.47,-63.99,41.83
Other Investing Activities,-2.9,-20,-,-
Investing Cash Flow,-200.73,-0.69,-16.95,48.28
Dividends Paid,-5.14,-1.89,-1.98,-1.28
Share Issuance / Repurchase,-9.08,118.7,0,0
Debt Issued / Paid,23.63,-24.03,-1.59,-33.08
Other Financing Activities,53.92,-6.03,77.12,-6.63
Financing Cash Flow,63.32,86.75,73.54,-40.99
Net Cash Flow,-132.55,85.81,56.75,10.04
Free Cash Flow,4.03,2.59,-1.66,2.51
Free Cash Flow Growth,55.71%,-,-,-
Free Cash Flow Margin,16.05%,10.90%,-10.14%,16.43%
Free Cash Flow Per Share,0.27,0.17,-,-
