Year,2022,2021,2020,2019,2018,2017,2016
Net Income,24.98,21.93,15.5,15.83,10.87,7.69,6.93
Depreciation & Amortization,0.69,0.86,0.96,1.03,0.62,0.56,0.54
Share-Based Compensation,1.18,1.01,0.69,0.68,0.71,0.63,0.7
Other Operating Activities,-4.46,-4.36,-2.29,1.89,1.15,1.62,1.25
Operating Cash Flow,22.39,19.45,14.87,19.43,13.34,10.49,9.42
Operating Cash Flow Growth,15.16%,30.81%,-23.48%,45.62%,27.13%,11.40%,-
Capital Expenditures,-0.17,-0.49,-0.35,-0.31,-0.74,-0.5,-0.28
Acquisitions,0,-22.2,0,0,5.17,0,0
Change in Investments,-210.67,-325.76,-267.95,-163.67,-118.69,-138.89,-174.24
Other Investing Activities,-15,4.1,-,0.36,-,-4.29,-
Investing Cash Flow,-225.83,-344.34,-268.3,-163.63,-114.26,-143.67,-174.52
Share Issuance / Repurchase,0.94,1.22,-6.91,1.22,34.62,10.26,0.11
Debt Issued / Paid,238.75,-23.81,19.51,25,-27.58,-27,15.55
Other Financing Activities,-53.61,351.26,246.75,123.46,95.89,152.17,149.35
Financing Cash Flow,186.08,328.67,259.36,149.68,102.93,135.43,165.02
Net Cash Flow,-17.36,3.78,5.92,5.48,2.01,2.25,-0.08
Free Cash Flow,22.23,18.96,14.51,19.12,12.6,9.99,9.14
Free Cash Flow Growth,17.23%,30.65%,-24.08%,51.74%,26.06%,9.37%,-
Free Cash Flow Margin,33.96%,30.22%,28.74%,39.10%,31.85%,29.50%,33.91%
Free Cash Flow Per Share,1.27,1.11,0.86,1.10,0.74,0.62,-
