Year,2022,2021,2020,2019,2018
Net Income,-269.74,155.13,-195.91,480.51,264.54
Depreciation & Amortization,0,0,0,34.59,11.21
Share-Based Compensation,627.71,0,0,0,0
Other Operating Activities,"1,017.9","1,319.69",291.3,313.02,599.16
Operating Cash Flow,"1,375.88","1,474.82",95.39,828.12,874.91
Operating Cash Flow Growth,-6.71%,1446.05%,-88.48%,-5.35%,-
Capital Expenditures,-2.45,-1.79,-8.33,-8.15,-
Acquisitions,-0.56,-35.95,-99.77,25.56,-
Investing Cash Flow,-3.01,-37.75,-108.1,17.4,-
Dividends Paid,-662.81,0,0,-248.26,-
Share Issuance / Repurchase,820.62,0,0,0,-
Debt Issued / Paid,0,149.48,50,48.88,-
Other Financing Activities,"-1,395.89","-1,472.05",200.33,-626.01,-
Financing Cash Flow,"-1,238.08","-1,322.57",250.33,-825.39,-
Net Cash Flow,134.79,114.51,237.63,20.14,-
Free Cash Flow,"1,373.43","1,473.03",87.07,819.97,-
Free Cash Flow Growth,-6.76%,1591.85%,-89.38%,-,-
Free Cash Flow Margin,68.57%,29.60%,4.12%,41.25%,-
Free Cash Flow Per Share,17.33,4.80,0.28,-,-
