Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,32.35,158.96,122.99,52.95,28.89,22.82,-1.16,1.96,8.83,25.06,Upgrade
Depreciation & Amortization,34.41,34.12,33.29,32.82,6.87,5.66,8.07,7.92,10.57,11.29,Upgrade
Share-Based Compensation,15.91,31.14,16.22,11.82,6.71,12.57,5.46,2.58,6.07,9.25,Upgrade
Other Operating Activities,-18.18,3.57,-226.56,-18.45,126.1,-57.18,-79.24,-31.87,52.85,-49.03,Upgrade
Operating Cash Flow,64.49,227.79,-54.06,79.14,168.57,-16.14,-66.87,-19.41,78.32,-3.43,Upgrade
Operating Cash Flow Growth,-71.69%,-,-,-53.05%,-,-,-,-,-,-,Upgrade
Capital Expenditures,-16.31,-8.27,-4.53,-10.02,-8.67,-5.61,39.72,-5.89,-4.4,-14.01,Upgrade
Other Investing Activities,2.17,2,0.59,1.72,0.48,1.74,-,-,-,-,Upgrade
Investing Cash Flow,-14.14,-6.27,-3.94,-8.3,-8.19,-3.87,39.72,-5.89,-4.4,-14.01,Upgrade
Dividends Paid,-7.04,-19.44,-18.58,-5.94,-5.83,-5.84,-5.89,-6.01,-5.98,-5.98,Upgrade
Share Issuance / Repurchase,-60.51,118.82,-14.99,-8.32,-5.82,-7.44,-3.94,-8.25,0.19,-3.48,Upgrade
Debt Issued / Paid,-80.45,-12.52,55.79,-65,-103.3,21.2,45.6,40.8,-103.8,-10.1,Upgrade
Other Financing Activities,-105.91,-2.27,-8.35,-2.7,-2.9,-4.69,-7.08,-1.68,1.19,-0.08,Upgrade
Financing Cash Flow,-253.91,84.58,13.87,-81.96,-117.86,3.24,28.7,24.86,-108.4,-19.63,Upgrade
Net Cash Flow,-203.56,306.1,-44.13,-11.13,42.52,-16.76,1.55,-0.44,-34.49,-37.07,Upgrade
Free Cash Flow,48.18,219.52,-58.59,69.12,159.9,-21.75,-27.15,-25.3,73.92,-17.44,Upgrade
Free Cash Flow Growth,-78.05%,-,-,-56.77%,-,-,-,-,-,-,Upgrade
Free Cash Flow Margin,4.34%,15.75%,-4.89%,6.69%,16.69%,-2.36%,-3.16%,-2.82%,7.53%,-1.71%,Upgrade
Free Cash Flow Per Share,4.13,17.36,-4.63,5.36,12.07,-1.64,-2.03,-1.85,5.43,-1.28,Upgrade
