Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-15.89,-21.12,-2.56,-1.74,-0.83,-45.46,-44.27,-10.05,-14.76,0.09,Upgrade
Depreciation & Amortization,0,0,0,0,0,0,0.18,0.3,0.03,0,Upgrade
Share-Based Compensation,2.63,15.67,0,0,0,0.01,0,6.59,13.13,0,Upgrade
Other Operating Activities,12.49,-4.48,-0.42,0.14,0.32,43.97,43.25,2.36,0.54,0.16,Upgrade
Operating Cash Flow,-0.78,-4.86,-2.97,-1.5,-0.51,-1.49,-0.83,-0.8,-1.06,0.25,Upgrade
Capital Expenditures,-0.01,-0.01,0,0,-0,-0,0.05,-0.54,-0.35,-0.02,Upgrade
Change in Investments,-8.97,-9.46,0,0,0,0,0,-2.35,-0.4,0,Upgrade
Other Investing Activities,-,-,-,-,-,0,0.34,-0.33,-0.02,-,Upgrade
Investing Cash Flow,-8.97,-9.47,0,0,-0,0,0.39,-3.23,-0.77,-0.02,Upgrade
Dividends Paid,-0.63,0,0,0,0,0,0,0,0,0,Upgrade
Share Issuance / Repurchase,11.13,15.11,1.85,1.39,0.06,0,0.09,2.74,1.81,0,Upgrade
Debt Issued / Paid,0,-1,1.5,0.2,0.2,-0.05,0.32,1.4,0,-0.21,Upgrade
Other Financing Activities,-,1.1,-,-,-,1.75,-,-,0.01,-,Upgrade
Financing Cash Flow,10.5,15.21,3.35,1.59,0.26,1.7,0.41,4.14,1.82,-0.21,Upgrade
Net Cash Flow,0.75,0.88,0.38,0.09,-0.25,0.21,-0.03,0.12,-0,0.01,Upgrade
Free Cash Flow,-0.78,-4.87,-2.97,-1.5,-0.51,-1.49,-0.78,-1.34,-1.41,0.23,Upgrade
Free Cash Flow Margin,-46.22%,-401.57%,-,-,-,-33253.10%,-218.53%,-264.98%,-3681.00%,14.23%,Upgrade
Free Cash Flow Per Share,-0.06,-0.71,-1.00,-0.94,-0.41,-3.62,-25.71,-144.88,-186.10,33.16,Upgrade
