Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,535.8,958.3,421,656.1,574,470.2,332.8,299.7,266.2,253.1,Upgrade
Depreciation & Amortization,25.6,26.3,23.8,22.4,19.5,16.4,15.3,14.2,13.2,13.2,Upgrade
Share-Based Compensation,36.5,24.8,6.2,7.6,10.3,15.4,7.4,12.4,15.3,8.5,Upgrade
Other Operating Activities,640.8,60,534.2,126.2,100.1,64,151.7,77.9,70.5,50.9,Upgrade
Operating Cash Flow,"1,238.7","1,069.4",985.2,812.3,703.9,566,507.2,404.2,365.2,325.7,Upgrade
Operating Cash Flow Growth,15.83%,8.55%,21.29%,15.40%,24.36%,11.59%,25.48%,10.68%,12.13%,5.54%,Upgrade
Capital Expenditures,-3.1,-7.6,-8.5,-26.8,-25.1,-8.4,-5.5,-4,-4.3,-5.6,Upgrade
Acquisitions,"-2,760.8","-2,256.5","-2,396.3","-2,621.8","-2,596.3","-2,147","-2,076.9","-1,997.8","-1,648.6","-1,511.2",Upgrade
Change in Investments,"2,303.3","2,701.4","1,731.3","1,624.4","1,383.1","1,283.6","1,204.2","1,362.3","1,289.5","1,183.2",Upgrade
Investing Cash Flow,-460.6,437.3,-673.5,"-1,024.2","-1,238.3",-871.8,-878.2,-639.5,-363.4,-333.6,Upgrade
Share Issuance / Repurchase,-769.4,"-1,460",-480.8,-300.4,-129.1,-123.5,-121.7,-86.5,-343.1,-134.6,Upgrade
Debt Issued / Paid,-29,8.5,67.1,726.8,749.7,470.9,526.8,332,364.1,141.9,Upgrade
Other Financing Activities,3.8,-17.2,-19.5,-26.1,-20.7,-17.1,31.5,-10.3,-20.6,-4.2,Upgrade
Financing Cash Flow,-794.6,"-1,468.7",-433.2,400.3,599.9,330.3,436.6,235.2,0.4,3.1,Upgrade
Net Cash Flow,-16.5,38,-121.5,188.4,65.5,24.5,65.6,-0.1,2.2,-4.8,Upgrade
Free Cash Flow,"1,235.6","1,061.8",976.7,785.5,678.8,557.6,501.7,400.2,360.9,320.1,Upgrade
Free Cash Flow Growth,16.37%,8.71%,24.34%,15.72%,21.74%,11.14%,25.36%,10.89%,12.75%,6.77%,Upgrade
Free Cash Flow Margin,67.43%,57.21%,58.51%,52.75%,52.79%,50.23%,51.76%,48.49%,49.88%,46.93%,Upgrade
Free Cash Flow Per Share,91.09,66.01,54.69,41.56,34.91,28.60,24.68,19.16,16.21,13.42,Upgrade
